,HDSN
% Below High,0.011399999999999999
% Held by Institutions,0.6995
52-Wk Range,['3.11 - 11.42']
Annual Dividend $,
Annual Dividend %,
Ask,11.42
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,11.34
Bid Size,100.0
Closing Price,11.29
Day Change $,0.71
Day Change %,0.06709999999999999
Day High,11.42
Day Low,10.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.23
Ex-dividend Date,No dividend
Historical Volatility,0.765
Last (size),30.0
Last (time),1:00p ET 11/25/22
Market Cap,508.9M
"P/E Ratio (TTM, GAAP)",5.06
Prev Close,10.58
Short Interest,0.0292
Today's Open,10.7
Volume,521038.0
Volume 10-day Avg,398424.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5560747663551402
Growth 2yr High Est,-0.3167420814479638
Growth 2yr Consensus Est,-0.436408423901552
Growth 5yr Low Est,-0.5560747663551402
Growth 5yr High Est,-0.3167420814479638
Growth 5yr Consensus Est,-0.436408423901552
Growth 5yr Actual/Est,-1.4626868664141903
Growth 3yr Historic,-1.8883196721311475
Price/Earnings (TTM),5.06367
Price/Sales (TTM),1.61273
Price/Book (MRQ),2.98287
Price/Cash Flow (TTM),4.5793
5yr Low,0.3029
5yr High,11.34
5yr Avg Return,0.6891666666666667
EPS Growth 5yr,0.1815569
Revenue Growth 5yr,0.1281403
Dividend Growth 5yr,
Short Int Current Month,1088999.0
Short Int Prev Month,1365985.0
Short Int Pct of Float,0.029192100000000002
Days to Cover,1.31693
Float,37.30452
Shares Outstanding,45.07591
Institutions Holding Shares,160.0
FCF Growth 5yr,1.240915829165204
"Price/Earnings (TTM, GAAP)",5.06
"PEG Ratio (TTM, GAAP)",0.17
Gross Profit Margin (TTM),0.5215
Operating Profit Margin (TTM),0.4239
Net Profit Margin (TTM),0.3325
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2631
EPS Growth (TTM),4.0055000000000005
Revenue Growth (MRQ),-0.1389
Revenue Growth (TTM),0.782
Return On Equity (TTM),0.8833
Return On Assets (TTM),0.4338
Return On Investment (TTM),0.5613
Revenue Per Employee (TTM),1454175.0
Total Debt/Total Capital (MRQ),0.2407
Change in Debt/Total Capital Quarter over Quarter,-0.005699999999999999
Quick Ratio (MRQ),1.23
Interest Coverage (MRQ),15.36
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2022-08-17 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
