,BPMC
Price/Earnings (TTM),
Price/Sales (TTM),9.86424
Price/Book (MRQ),4.19299
Price/Cash Flow (TTM),
5yr Low,40.78
5yr High,125.61
5yr Avg Return,0.009883333333333345
EPS Growth 5yr,
Revenue Growth 5yr,0.4533549
Dividend Growth 5yr,
Short Int Current Month,4243718.0
Short Int Prev Month,3656332.0
Short Int Pct of Float,0.0714823
Days to Cover,5.35569
Float,59.44889
Shares Outstanding,59.83061
Institutions Holding Shares,325.0
% Held by Institutions,1.0484499999999999
FCF Growth 5yr,0.28942077044978975
