,BPMC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),9.86,45.03,Valuation,0.2189651343548745
Price/Book (MRQ),4.19,12.61,Valuation,0.3322759714512292
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9247,0.5874,Profitability,1.5742254000680966
Operating Profit Margin (TTM),-2.5851,-4.7459,Profitability,0.5447017425567332
Net Profit Margin (TTM),-2.6354,-4.5467,Profitability,0.5796291816042404
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.16820000000000002,-0.0014000000000000002,Gowth rates,-120.14285714285714
EPS Growth (TTM),-0.7033,0.027200000000000002,Gowth rates,-25.856617647058822
Revenue Growth (MRQ),0.8053,1.3963999999999999,Gowth rates,0.5766972214265255
Revenue Growth (TTM),1.5407,0.9747,Gowth rates,1.5806914948189186
Return On Equity (TTM),-0.7604000000000001,0.1967,Effectiveness,-3.86578546009151
Return On Assets (TTM),-0.4888,0.0016,Effectiveness,-305.5
Return On Investment (TTM),-0.5435,0.0219,Effectiveness,-24.817351598173516
Revenue Per Employee (TTM),550053.0,1476201.0,Effectiveness,0.3726138920106408
Total Debt/Total Capital (MRQ),0.1777,0.4675,Financial strength,0.3801069518716577
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),6.79,2.06,Financial strength,3.296116504854369
Interest Coverage (MRQ),-14.8,2.69,Financial strength,-5.5018587360594795
