,BPMC
% Above Low,0.1008
% Held by Institutions,1.0485
52-Wk Range,['40.78 - 111.78']
Annual Dividend $,
Annual Dividend %,
Ask,45.17
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,44.61
Bid Size,100.0
Closing Price,44.89
Day Change $,0.06
Day Change %,0.0013
Day High,45.17
Day Low,44.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-12.1
Ex-dividend Date,No dividend
Historical Volatility,0.632
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,44.83
Short Interest,0.07150000000000001
Today's Open,44.32
Volume,173508.0
Volume 10-day Avg,538513.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-2.9471544715447155
Growth 1yr High Est,-2.385802469135802
Growth 1yr Consensus Est,-2.666478470340259
Growth 2yr Low Est,-1.3530135614508545
Growth 2yr High Est,-1.2435693860155626
Growth 2yr Consensus Est,-1.2982914737332085
Growth 5yr Low Est,-1.0710426209134414
Growth 5yr High Est,-1.138232061428834
Growth 5yr Consensus Est,-1.1046373411711377
Growth 5yr Actual/Est,-1.2156339877510813
Growth 3yr Historic,-1.1846254733718347
Price/Earnings (TTM),
Price/Sales (TTM),9.86424
Price/Book (MRQ),4.19299
Price/Cash Flow (TTM),
5yr Low,40.78
5yr High,125.61
5yr Avg Return,0.009883333333333345
EPS Growth 5yr,
Revenue Growth 5yr,0.4533549
Dividend Growth 5yr,
Short Int Current Month,4243718.0
Short Int Prev Month,3656332.0
Short Int Pct of Float,0.0714823
Days to Cover,5.35569
Float,59.44889
Shares Outstanding,59.83061
Institutions Holding Shares,325.0
FCF Growth 5yr,0.28942077044978975
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9247
Operating Profit Margin (TTM),-2.5851
Net Profit Margin (TTM),-2.6354
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.16820000000000002
EPS Growth (TTM),-0.7033
Revenue Growth (MRQ),0.8053
Revenue Growth (TTM),1.5407
Return On Equity (TTM),-0.7604000000000001
Return On Assets (TTM),-0.4888
Return On Investment (TTM),-0.5435
Revenue Per Employee (TTM),550053.0
Total Debt/Total Capital (MRQ),0.1777
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),6.79
Interest Coverage (MRQ),-14.8
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-05 00:00:00
ford since,2022-02-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-11-08 00:00:00
