,HTH
% Above Low,0.2242
% Held by Institutions,0.5690999999999999
52-Wk Range,['24.18 - 38.23']
Annual Dividend $,0.6
Annual Dividend %,0.0203
Ask,31.75
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.1
Bid,11.86
Bid Size,200.0
Closing Price,29.6
Day Change $,-0.16
Day Change %,-0.0054
Day High,29.88
Day Low,29.59
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.01
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.375
Last (size),24.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.73
Prev Close,29.76
Short Interest,0.044199999999999996
Today's Open,29.71
Volume,159163.0
Volume 10-day Avg,342042.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.6674157303370787
Growth 1yr High Est,-0.6666666666666667
Growth 1yr Consensus Est,-0.6670411985018727
Growth 2yr Low Est,-0.36073489219556637
Growth 2yr High Est,-0.25268817204301075
Growth 2yr Consensus Est,-0.3067115321192886
Growth 5yr Low Est,0.02983561054779235
Growth 5yr High Est,0.08518556768924973
Growth 5yr Consensus Est,0.05751058911852104
Growth 5yr Actual/Est,0.06272082623691505
Growth 3yr Historic,0.22089984966712006
Price/Earnings (TTM),14.72732
Price/Sales (TTM),1.3781
Price/Book (MRQ),0.94099
Price/Cash Flow (TTM),10.3934
5yr Low,11.05
5yr High,39.6
5yr Avg Return,0.05896666666666668
EPS Growth 5yr,0.2554526
Revenue Growth 5yr,0.030543999999999998
Dividend Growth 5yr,0.3356042
Short Int Current Month,1998017.0
Short Int Prev Month,2195735.0
Short Int Pct of Float,0.0441804
Days to Cover,5.78103
Float,45.4255
Shares Outstanding,64.59149
Institutions Holding Shares,247.0
FCF Growth 5yr,0.3639933497502678
"Price/Earnings (TTM, GAAP)",14.73
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1481
Net Profit Margin (TTM),0.1135
Annual Dividend Yield,0.0203
Dividend Change %,0.30770000000000003
"Dividend Growth Rate, 3 Years",0.207
EPS Growth (MRQ),0.1009
EPS Growth (TTM),-0.6074
Revenue Growth (MRQ),0.15789999999999998
Revenue Growth (TTM),-0.0176
Return On Equity (TTM),0.0664
Return On Assets (TTM),0.0091
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-09 00:00:00
researchTeam since,2022-11-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
