,HTH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.73,11.29,Valuation,1.304694419840567
Price/Sales (TTM),1.38,3.28,Valuation,0.42073170731707316
Price/Book (MRQ),0.94,1.42,Valuation,0.6619718309859155
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.1481,0.3468,Profitability,0.4270472895040369
Net Profit Margin (TTM),0.1135,0.2848,Profitability,0.3985252808988764
Annual Dividend Yield,0.0203,0.028999999999999998,Dividend,0.7
Dividend Change %,0.30770000000000003,-0.0087,Dividend,-35.367816091954026
"Dividend Growth Rate, 3 Years",0.207,0.0742,Dividend,2.7897574123989215
EPS Growth (MRQ),0.1009,-0.048,Gowth rates,-2.1020833333333333
EPS Growth (TTM),-0.6074,-0.10490000000000001,Gowth rates,5.790276453765491
Revenue Growth (MRQ),0.15789999999999998,0.5294,Gowth rates,0.2982621836040801
Revenue Growth (TTM),-0.0176,0.22469999999999998,Gowth rates,-0.07832665776591011
Return On Equity (TTM),0.0664,0.1153,Effectiveness,0.5758889852558543
Return On Assets (TTM),0.0091,0.0101,Effectiveness,0.9009900990099011
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0023,0.0009,Financial strength,2.555555555555556
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
