,AEL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2.84,19.61,Valuation,0.14482406935237124
Price/Sales (TTM),1.78,2.33,Valuation,0.7639484978540773
Price/Book (MRQ),1.04,3.82,Valuation,0.27225130890052357
"PEG Ratio (TTM, GAAP)",0.12,37.63,Valuation,0.00318894499069891
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),-0.41450000000000004,0.1298,Profitability,-3.193374422187982
Net Profit Margin (TTM),0.7125,0.10460000000000001,Profitability,6.811663479923517
Annual Dividend Yield,0.0092,0.0168,Dividend,0.5476190476190477
Dividend Change %,0.0625,-0.0075,Dividend,-8.333333333333334
"Dividend Growth Rate, 3 Years",0.0669,0.0225,Dividend,2.9733333333333336
EPS Growth (MRQ),-0.09050000000000001,-0.0779,Gowth rates,1.1617458279845958
EPS Growth (TTM),2.8155,-0.005200000000000001,Gowth rates,-541.4423076923076
Revenue Growth (MRQ),3.0517000000000003,0.0897,Gowth rates,34.021181716833894
Revenue Growth (TTM),-0.4819,0.042800000000000005,Gowth rates,-11.259345794392521
Return On Equity (TTM),0.269,0.3775,Effectiveness,0.7125827814569536
Return On Assets (TTM),0.0179,0.031200000000000002,Effectiveness,0.5737179487179487
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),2337885.0,1261907.0,Effectiveness,1.8526602990553187
Total Debt/Total Capital (MRQ),0.2139,0.4026,Financial strength,0.5312965722801788
Change in Debt/Total Capital Quarter over Quarter,0.006999999999999999,0.002,Financial strength,3.4999999999999996
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,10.79,Financial strength,
