,AEL
% Below High,0.1252
% Held by Institutions,0.9878
52-Wk Range,['28.05 - 44.49']
Annual Dividend $,0.36
Annual Dividend %,0.0092
Ask,39.24
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,38.92
Day Change $,-0.11
Day Change %,-0.0028000000000000004
Day High,39.41
Day Low,38.81
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",13.7
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.46799999999999997
Last (size),34.0
Last (time),5:00p ET 11/25/22
Market Cap,3.3B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",2.84
Prev Close,39.03
Short Interest,0.0147
Today's Open,39.33
Volume,203025.0
Volume 10-day Avg,466206.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.19753086419753085
Growth 2yr High Est,0.26086956521739113
Growth 2yr Consensus Est,0.229200214707461
Growth 5yr Low Est,0.19753086419753085
Growth 5yr High Est,0.26086956521739113
Growth 5yr Consensus Est,0.229200214707461
Growth 5yr Actual/Est,0.6999171669080195
Growth 3yr Historic,0.5547403685092126
Price/Earnings (TTM),2.84085
Price/Sales (TTM),1.78341
Price/Book (MRQ),1.04307
Price/Cash Flow (TTM),2.5594
5yr Low,9.07
5yr High,44.49
5yr Avg Return,0.05481666666666665
EPS Growth 5yr,0.36178849999999996
Revenue Growth 5yr,0.10690709999999999
Dividend Growth 5yr,0.072145
Short Int Current Month,1240879.0
Short Int Prev Month,1265860.0
Short Int Pct of Float,0.014747900000000001
Days to Cover,1.13859
Float,84.18821
Shares Outstanding,85.70226
Institutions Holding Shares,346.0
FCF Growth 5yr,1.2380356341200398
"Price/Earnings (TTM, GAAP)",2.84
"PEG Ratio (TTM, GAAP)",0.12
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.41450000000000004
Net Profit Margin (TTM),0.7125
Annual Dividend Yield,0.0092
Dividend Change %,0.0625
"Dividend Growth Rate, 3 Years",0.0669
EPS Growth (MRQ),-0.09050000000000001
EPS Growth (TTM),2.8155
Revenue Growth (MRQ),3.0517000000000003
Revenue Growth (TTM),-0.4819
Return On Equity (TTM),0.269
Return On Assets (TTM),0.0179
Return On Investment (TTM),
Revenue Per Employee (TTM),2337885.0
Total Debt/Total Capital (MRQ),0.2139
Change in Debt/Total Capital Quarter over Quarter,0.006999999999999999
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-12-14 00:00:00
