,AEL
Price/Earnings (TTM),2.84085
Price/Sales (TTM),1.78341
Price/Book (MRQ),1.04307
Price/Cash Flow (TTM),2.5594
5yr Low,9.07
5yr High,44.49
5yr Avg Return,0.05481666666666665
EPS Growth 5yr,0.36178849999999996
Revenue Growth 5yr,0.10690709999999999
Dividend Growth 5yr,0.072145
Short Int Current Month,1240879.0
Short Int Prev Month,1265860.0
Short Int Pct of Float,0.014747900000000001
Days to Cover,1.13859
Float,84.18821
Shares Outstanding,85.70226
Institutions Holding Shares,346.0
% Held by Institutions,0.987756
FCF Growth 5yr,1.2380356341200398
