,ALTO
% Above Low,0.07400000000000001
% Held by Institutions,0.5209
52-Wk Range,['3.38 - 7.37']
Annual Dividend $,
Annual Dividend %,
Ask,3.72
Ask Size,200.0
B/A Ratio,4.0
B/A Size,800x200
Beta,2.4
Bid,3.65
Bid Size,800.0
Closing Price,3.63
Day Change $,-0.04
Day Change %,-0.0109
Day High,3.69
Day Low,3.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.36
Ex-dividend Date,No dividend
Historical Volatility,0.638
Last (size),800.0
Last (time),1:00p ET 11/25/22
Market Cap,268.5M
"P/E Ratio (TTM, GAAP)",10.05
Prev Close,3.67
Short Interest,0.0319
Today's Open,3.65
Volume,512559.0
Volume 10-day Avg,1041903.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.6488549618320612
Growth 1yr High Est,-1.1221374045801527
Growth 1yr Consensus Est,-0.8854961832061069
Growth 2yr Low Est,-0.9548622635247263
Growth 2yr High Est,1.3764312977099236
Growth 2yr Consensus Est,0.21078451709259866
Growth 5yr Low Est,-0.4774311317623631
Growth 5yr High Est,0.6882156488549618
Growth 5yr Consensus Est,0.10539225854629933
Growth 5yr Actual/Est,-0.695841198530152
Growth 3yr Historic,0.45501107419712067
Price/Earnings (TTM),10.05457
Price/Sales (TTM),0.19277
Price/Book (MRQ),0.80139
Price/Cash Flow (TTM),5.23826
5yr Low,0.22
5yr High,11.44
5yr Avg Return,0.9729833333333333
EPS Growth 5yr,1.8091409999999999
Revenue Growth 5yr,-0.057572599999999995
Dividend Growth 5yr,
Short Int Current Month,2246479.0
Short Int Prev Month,2732047.0
Short Int Pct of Float,0.0318784
Days to Cover,1.96978
Float,70.46928
Shares Outstanding,73.95611
Institutions Holding Shares,167.0
FCF Growth 5yr,-1.0169578042909282
"Price/Earnings (TTM, GAAP)",10.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0258
Operating Profit Margin (TTM),0.0213
Net Profit Margin (TTM),0.0198
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.2876
EPS Growth (TTM),3.0124
Revenue Growth (MRQ),-0.0699
Revenue Growth (TTM),0.405
Return On Equity (TTM),0.0805
Return On Assets (TTM),0.0589
Return On Investment (TTM),0.06910000000000001
Revenue Per Employee (TTM),3355846.0
Total Debt/Total Capital (MRQ),0.12050000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0045000000000000005
Quick Ratio (MRQ),2.3
Interest Coverage (MRQ),-80.12
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-11-09 00:00:00
marketEdge opinion since,
