,MCRI
% Below High,0.1202
% Held by Institutions,0.6112
52-Wk Range,['54.01 - 94.26']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,82.93
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.34
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.09
Prev Close,82.93
Short Interest,0.0179
Today's Open,
Volume,38731.0
Volume 10-day Avg,58177.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3141993957703926
Growth 1yr High Est,0.2954545454545454
Growth 1yr Consensus Est,0.304826970612469
Growth 2yr Low Est,0.16169739903462155
Growth 2yr High Est,0.23106060606060608
Growth 2yr Consensus Est,0.1963790025476138
Growth 5yr Low Est,0.30642341216098895
Growth 5yr High Est,0.3544191919191919
Growth 5yr Consensus Est,0.33042130204009046
Growth 5yr Actual/Est,0.47807563521379104
Growth 3yr Historic,0.3898235294117647
Price/Earnings (TTM),19.08732
Price/Sales (TTM),3.35714
Price/Book (MRQ),3.04042
Price/Cash Flow (TTM),12.35437
5yr Low,12.83
5yr High,94.26
5yr Avg Return,0.10891666666666668
EPS Growth 5yr,0.2043824
Revenue Growth 5yr,0.1274506
Dividend Growth 5yr,
Short Int Current Month,236977.0
Short Int Prev Month,331998.0
Short Int Pct of Float,0.0179491
Days to Cover,4.02734
Float,13.21191
Shares Outstanding,18.96164
Institutions Holding Shares,214.0
FCF Growth 5yr,0.36759453656590235
"Price/Earnings (TTM, GAAP)",19.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5449
Operating Profit Margin (TTM),0.2331
Net Profit Margin (TTM),0.1813
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4203
EPS Growth (TTM),0.3144
Revenue Growth (MRQ),0.15990000000000001
Revenue Growth (TTM),0.3669
Return On Equity (TTM),0.1807
Return On Assets (TTM),0.12480000000000001
Return On Investment (TTM),0.1565
Revenue Per Employee (TTM),176756.0
Total Debt/Total Capital (MRQ),0.0484
Change in Debt/Total Capital Quarter over Quarter,-0.0076
Quick Ratio (MRQ),0.54
Interest Coverage (MRQ),45.01
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-05-20 00:00:00
ford since,2021-08-27 00:00:00
cfra since,
marketEdge opinion since,
