,SAM
% Above Low,0.3257
% Held by Institutions,0.815
52-Wk Range,['287.00 - 547.71']
Annual Dividend $,
Annual Dividend %,
Ask,381.45
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,379.52
Bid Size,200.0
Day Change $,3.42
Day Change %,0.0091
Day High,382.53
Day Low,377.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.16
Ex-dividend Date,No dividend
Historical Volatility,0.465
Last (size),100.0
Last (time),1:36p ET 11/28/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",174.71
Prev Close,377.07
Price,380.49
Short Interest,0.083
Today's Open,377.07
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.5632183908045977
Growth 1yr High Est,-0.5413173652694611
Growth 1yr Consensus Est,-0.5522678780370294
Growth 2yr Low Est,0.02024838973701998
Growth 2yr High Est,0.0733360954331545
Growth 2yr Consensus Est,0.04679224258508724
Growth 5yr Low Est,0.14648783123214634
Growth 5yr High Est,0.20626603766632598
Growth 5yr Consensus Est,0.17637693444923616
Growth 5yr Actual/Est,1.3610539470936147
Growth 3yr Historic,-0.06988370649481046
Price/Earnings (TTM),174.707
Price/Sales (TTM),2.32866
Price/Book (MRQ),4.3166
Price/Cash Flow (TTM),43.40821
5yr Low,160.4
5yr High,1349.98
5yr Avg Return,0.3003166666666667
EPS Growth 5yr,-0.29652429999999996
Revenue Growth 5yr,0.17816120000000002
Dividend Growth 5yr,
Short Int Current Month,776050.0
Short Int Prev Month,815366.0
Short Int Pct of Float,0.0829626
Days to Cover,4.01826
Float,9.36411
Shares Outstanding,12.29514
Institutions Holding Shares,374.0
FCF Growth 5yr,-0.39912258107558723
"Price/Earnings (TTM, GAAP)",174.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.39990000000000003
Operating Profit Margin (TTM),0.0174
Net Profit Margin (TTM),0.013500000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4886
EPS Growth (TTM),-0.7234999999999999
Revenue Growth (MRQ),-0.032100000000000004
Revenue Growth (TTM),-0.0827
Return On Equity (TTM),0.0256
Return On Assets (TTM),0.018000000000000002
Return On Investment (TTM),0.0225
Revenue Per Employee (TTM),782895.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.07
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-22 00:00:00
theStreet since,2022-07-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-22 00:00:00
ford since,2022-08-26 00:00:00
marketEdge opinion since,
