,SAM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",174.71,30.98,Valuation,5.639444803098773
Price/Sales (TTM),2.33,5.41,Valuation,0.43068391866913125
Price/Book (MRQ),4.32,12.08,Valuation,0.3576158940397351
"PEG Ratio (TTM, GAAP)",,1.83,Valuation,
Gross Profit Margin (TTM),0.39990000000000003,0.5436,Profitability,0.7356512141280355
Operating Profit Margin (TTM),0.0174,0.2061,Profitability,0.08442503639010189
Net Profit Margin (TTM),0.013500000000000002,0.1504,Profitability,0.08976063829787234
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0435,Dividend,
"Dividend Growth Rate, 3 Years",,0.0233,Dividend,
EPS Growth (MRQ),-0.4886,-56.8582,Gowth rates,0.008593307561618201
EPS Growth (TTM),-0.7234999999999999,-0.16890000000000002,Gowth rates,4.283599763173474
Revenue Growth (MRQ),-0.032100000000000004,0.11,Gowth rates,-0.29181818181818187
Revenue Growth (TTM),-0.0827,0.1207,Gowth rates,-0.6851698425849212
Return On Equity (TTM),0.0256,0.37020000000000003,Effectiveness,0.06915180983252296
Return On Assets (TTM),0.018000000000000002,0.0808,Effectiveness,0.2227722772277228
Return On Investment (TTM),0.0225,0.1226,Effectiveness,0.1835236541598695
Revenue Per Employee (TTM),782895.0,576805.0,Effectiveness,1.3572957932056762
Total Debt/Total Capital (MRQ),0.0,0.5343,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0009,Financial strength,
Quick Ratio (MRQ),1.07,1.07,Financial strength,1.0
Interest Coverage (MRQ),,9.45,Financial strength,
