,PRG
Price/Earnings (TTM),10.72351
Price/Sales (TTM),0.35981
Price/Book (MRQ),1.67198
Price/Cash Flow (TTM),0.62609
5yr Low,12.11
5yr High,78.65
5yr Avg Return,-0.05739999999999999
EPS Growth 5yr,0.1396349
Revenue Growth 5yr,-0.0354598
Dividend Growth 5yr,
Short Int Current Month,2636856.0
Short Int Prev Month,3533502.0
Short Int Pct of Float,0.053393800000000005
Days to Cover,3.12712
Float,49.39164
Shares Outstanding,50.03264
Institutions Holding Shares,289.0
% Held by Institutions,0.9750749999999999
FCF Growth 5yr,0.26874264315065705
