,PRG
% Above Low,0.5623
% Held by Institutions,0.9751000000000001
52-Wk Range,['12.11 - 47.25']
Annual Dividend $,
Annual Dividend %,
Ask,18.92
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.0
Bid,18.86
Bid Size,200.0
Day Change $,-0.01
Day Change %,-0.0005
Day High,18.98
Day Low,18.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.77
Ex-dividend Date,No dividend
Historical Volatility,0.688
Last (size),13.0
Last (time),11:26a ET 11/28/22
Market Cap,946.6M
"P/E Ratio (TTM, GAAP)",10.72
Prev Close,18.93
Price,18.92
Short Interest,0.053399999999999996
Today's Open,18.77
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.4065656565656566
Growth 1yr High Est,-0.40452261306532655
Growth 1yr Consensus Est,-0.40554413481549156
Growth 2yr Low Est,-0.20753814743176446
Growth 2yr High Est,-0.10310518838920346
Growth 2yr Consensus Est,-0.15532166791048396
Growth 5yr Low Est,-0.08081049184010289
Growth 5yr High Est,-0.04207863586126842
Growth 5yr Consensus Est,-0.061444563850685655
Growth 5yr Actual/Est,-0.0728970770471592
Growth 3yr Historic,0.007229611415371984
Price/Earnings (TTM),10.72351
Price/Sales (TTM),0.35981
Price/Book (MRQ),1.67198
Price/Cash Flow (TTM),0.62609
5yr Low,12.11
5yr High,78.65
5yr Avg Return,-0.05739999999999999
EPS Growth 5yr,0.1396349
Revenue Growth 5yr,-0.0354598
Dividend Growth 5yr,
Short Int Current Month,2636856.0
Short Int Prev Month,3533502.0
Short Int Pct of Float,0.053393800000000005
Days to Cover,3.12712
Float,49.39164
Shares Outstanding,50.03264
Institutions Holding Shares,289.0
FCF Growth 5yr,0.26874264315065705
"Price/Earnings (TTM, GAAP)",10.72
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0684
Net Profit Margin (TTM),0.0382
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1393
EPS Growth (TTM),-0.5226
Revenue Growth (MRQ),-0.0364
Revenue Growth (TTM),-0.0018
Return On Equity (TTM),0.1223
Return On Assets (TTM),0.06820000000000001
Return On Investment (TTM),0.0782
Revenue Per Employee (TTM),1301173.0
Total Debt/Total Capital (MRQ),0.5105
Change in Debt/Total Capital Quarter over Quarter,0.1052
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.46
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
theStreet since,2022-07-29 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
