,PRG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.72,8.59,Valuation,1.2479627473806754
Price/Sales (TTM),0.36,1.88,Valuation,0.19148936170212766
Price/Book (MRQ),1.67,3.02,Valuation,0.5529801324503311
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),,0.38079999999999997,Profitability,
Operating Profit Margin (TTM),0.0684,0.2543,Profitability,0.2689736531655525
Net Profit Margin (TTM),0.0382,0.19039999999999999,Profitability,0.20063025210084034
Annual Dividend Yield,,0.0187,Dividend,
Dividend Change %,,0.242,Dividend,
"Dividend Growth Rate, 3 Years",,0.0575,Dividend,
EPS Growth (MRQ),-0.1393,-0.1573,Gowth rates,0.8855689764780674
EPS Growth (TTM),-0.5226,-0.04820000000000001,Gowth rates,10.84232365145228
Revenue Growth (MRQ),-0.0364,0.2511,Gowth rates,-0.1449621664675428
Revenue Growth (TTM),-0.0018,0.21670000000000003,Gowth rates,-0.008306414397784954
Return On Equity (TTM),0.1223,0.2596,Effectiveness,0.4711093990755008
Return On Assets (TTM),0.06820000000000001,0.0326,Effectiveness,2.092024539877301
Return On Investment (TTM),0.0782,0.0432,Effectiveness,1.8101851851851851
Revenue Per Employee (TTM),1301173.0,448656.0,Effectiveness,2.900157358867373
Total Debt/Total Capital (MRQ),0.5105,0.4919,Financial strength,1.0378125635291724
Change in Debt/Total Capital Quarter over Quarter,0.1052,0.0012,Financial strength,87.66666666666667
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),5.46,16.82,Financial strength,0.32461355529131986
