,ITRI
% Above Low,0.354
% Held by Institutions,1.0628
52-Wk Range,['39.38 - 70.67']
Annual Dividend $,
Annual Dividend %,
Ask,53.71
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,52.93
Bid Size,200.0
Closing Price,53.32
Day Change $,0.57
Day Change %,0.0108
Day High,53.56
Day Low,52.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.01
Ex-dividend Date,No dividend
Historical Volatility,0.517
Last (size),21.0
Last (time),1:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,52.75
Short Interest,0.0363
Today's Open,52.31
Volume,76280.0
Volume 10-day Avg,255284.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.9777777777777779
Growth 2yr High Est,2.859649122807018
Growth 2yr Consensus Est,1.918713450292398
Growth 5yr Low Est,0.9777777777777779
Growth 5yr High Est,2.859649122807018
Growth 5yr Consensus Est,1.918713450292398
Growth 5yr Actual/Est,0.2322222868307206
Growth 3yr Historic,-0.12420628459785085
Price/Earnings (TTM),
Price/Sales (TTM),1.32816
Price/Book (MRQ),2.20109
Price/Cash Flow (TTM),
5yr Low,39.38
5yr High,122.31
5yr Avg Return,0.03141666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.0031606
Dividend Growth 5yr,
Short Int Current Month,1626833.0
Short Int Prev Month,1971260.0
Short Int Pct of Float,0.0362973
Days to Cover,3.52075
Float,44.82805
Shares Outstanding,45.17799
Institutions Holding Shares,373.0
FCF Growth 5yr,1.4352082910464314
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2772
Operating Profit Margin (TTM),-0.0702
Net Profit Margin (TTM),-0.0496
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1107
EPS Growth (TTM),-35.8087
Revenue Growth (MRQ),-0.0255
Revenue Growth (TTM),-0.1026
Return On Equity (TTM),-0.0801
Return On Assets (TTM),-0.0379
Return On Investment (TTM),-0.0487
Revenue Per Employee (TTM),321865.0
Total Debt/Total Capital (MRQ),0.28800000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.2
Interest Coverage (MRQ),7.41
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-03-10 00:00:00
researchTeam since,2021-02-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-17 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
