,OPCH
% Below High,0.19820000000000002
% Held by Institutions,0.8294
52-Wk Range,['21.32 - 35.87']
Annual Dividend $,
Annual Dividend %,
Ask,29.41
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,1.2
Bid,28.0
Bid Size,500.0
Closing Price,28.76
Day Change $,-0.08
Day Change %,-0.0028000000000000004
Day High,29.26
Day Low,28.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",29.4
Prev Close,28.84
Short Interest,0.0275
Today's Open,28.65
Volume,831713.0
Volume 10-day Avg,1606687.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.11842105263157898
Growth 2yr High Est,0.25
Growth 2yr Consensus Est,0.1842105263157895
Growth 5yr Low Est,0.11842105263157898
Growth 5yr High Est,0.25
Growth 5yr Consensus Est,0.1842105263157895
Growth 5yr Actual/Est,-5.240768160411017
Growth 3yr Historic,-5.292091836734694
Price/Earnings (TTM),29.39797
Price/Sales (TTM),1.36448
Price/Book (MRQ),3.92274
Price/Cash Flow (TTM),21.4824
5yr Low,5.74
5yr High,35.87
5yr Avg Return,0.2134166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.2973595
Dividend Growth 5yr,
Short Int Current Month,4263665.0
Short Int Prev Month,4955362.0
Short Int Pct of Float,0.027474
Days to Cover,2.94662
Float,155.1947
Shares Outstanding,181.9009
Institutions Holding Shares,371.0
FCF Growth 5yr,1.1416643017046166
"Price/Earnings (TTM, GAAP)",29.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2206
Operating Profit Margin (TTM),0.0631
Net Profit Margin (TTM),0.0464
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1354
EPS Growth (TTM),1.1611
Revenue Growth (MRQ),0.0409
Revenue Growth (TTM),0.1594
Return On Equity (TTM),0.1466
Return On Assets (TTM),0.0609
Return On Investment (TTM),0.0746
Revenue Per Employee (TTM),708051.0
Total Debt/Total Capital (MRQ),0.44320000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),4.85
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2020-08-03 00:00:00
theStreet since,2022-06-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2020-05-08 00:00:00
cfra since,
marketEdge opinion since,
