,TDC
% Above Low,0.1459
% Held by Institutions,0.9254000000000001
52-Wk Range,['28.65 - 52.53']
Annual Dividend $,
Annual Dividend %,
Ask,33.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,20.0
Bid Size,100.0
Change Since Close,-0.38| |(-1.16%)
Closing Price,32.83
Day Change $,-0.59
Day Change %,-0.0177
Day High,33.5
Day Low,32.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.66
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,32.45
Market Cap,3.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",50.4
Prev Close,33.42
Short Interest,0.048499999999999995
Today's Open,33.3
Volume,572318.0
Volume 10-day Avg,1596535.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.08176100628930816
Growth 2yr High Est,0.308641975308642
Growth 2yr Consensus Est,0.19520149079897509
Growth 5yr Low Est,0.08176100628930816
Growth 5yr High Est,0.308641975308642
Growth 5yr Consensus Est,0.19520149079897509
Growth 5yr Actual/Est,0.23556677341797147
Growth 3yr Historic,0.2756452199200291
Price/Earnings (TTM),50.39888
Price/Sales (TTM),1.87137
Price/Book (MRQ),14.53414
Price/Cash Flow (TTM),16.20074
5yr Low,17.62
5yr High,59.58
5yr Avg Return,0.03805000000000001
EPS Growth 5yr,0.06494710000000001
Revenue Growth 5yr,-0.037608100000000005
Dividend Growth 5yr,
Short Int Current Month,4882581.0
Short Int Prev Month,5705012.0
Short Int Pct of Float,0.0485154
Days to Cover,3.05498
Float,100.7258
Shares Outstanding,101.8
Institutions Holding Shares,448.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",50.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6117
Operating Profit Margin (TTM),0.0864
Net Profit Margin (TTM),0.0402
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.977
EPS Growth (TTM),-0.371
Revenue Growth (MRQ),-0.0302
Revenue Growth (TTM),-0.059500000000000004
Return On Equity (TTM),0.21100000000000002
Return On Assets (TTM),0.0369
Return On Investment (TTM),0.0665
Revenue Per Employee (TTM),252500.0
Total Debt/Total Capital (MRQ),0.7216
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),12.0
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-02-11 00:00:00
theStreet since,2022-08-05 00:00:00
cfra since,2021-11-09 00:00:00
ford since,2022-02-11 00:00:00
marketEdge opinion since,
