,JNPR
% Below High,0.1605
% Held by Institutions,0.9203
52-Wk Range,['25.18 - 38.14']
Annual Dividend $,0.84
Annual Dividend %,0.0262
Ask,35.0
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,0.9
Bid,31.5
Bid Size,500.0
Closing Price,32.02
Day Change $,0.29
Day Change %,0.0091
Day High,32.15
Day Low,31.93
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",1.28
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.306
Last (size),8000.0
Last (time),5:00p ET 11/25/22
Market Cap,10.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.95
Prev Close,31.73
Short Interest,0.0271
Today's Open,32.01
Volume,1287791.0
Volume 10-day Avg,3142114.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.14880952380952372
Growth 1yr High Est,0.1123595505617978
Growth 1yr Consensus Est,0.13058453718566077
Growth 2yr Low Est,0.13658092770787067
Growth 2yr High Est,0.1597151288162525
Growth 2yr Consensus Est,0.14814802826206158
Growth 5yr Low Est,0.06980894028326248
Growth 5yr High Est,0.08982683345034476
Growth 5yr Consensus Est,0.07981788686680362
Growth 5yr Actual/Est,0.07713391378348566
Growth 3yr Historic,0.005935858964741192
Price/Earnings (TTM),24.95071
Price/Sales (TTM),2.01702
Price/Book (MRQ),2.39517
Price/Cash Flow (TTM),15.99795
5yr Low,15.2
5yr High,38.14
5yr Avg Return,0.04418333333333333
EPS Growth 5yr,-0.1299341
Revenue Growth 5yr,-0.010423199999999999
Dividend Growth 5yr,0.1486984
Short Int Current Month,8690606.0
Short Int Prev Month,8867045.0
Short Int Pct of Float,0.0271435
Days to Cover,2.57247
Float,320.1968
Shares Outstanding,324.5555
Institutions Holding Shares,734.0
FCF Growth 5yr,-0.8957401477084365
"Price/Earnings (TTM, GAAP)",24.95
"PEG Ratio (TTM, GAAP)",1.56
Gross Profit Margin (TTM),0.5593
Operating Profit Margin (TTM),0.1
Net Profit Margin (TTM),0.0827
Annual Dividend Yield,0.0262
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0357
EPS Growth (MRQ),0.0688
EPS Growth (TTM),1.8346
Revenue Growth (MRQ),0.1142
Revenue Growth (TTM),0.1061
Return On Equity (TTM),0.0971
Return On Assets (TTM),0.04820000000000001
Return On Investment (TTM),0.0602
Revenue Per Employee (TTM),505574.0
Total Debt/Total Capital (MRQ),0.26890000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.42
Interest Coverage (MRQ),14.75
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-07-28 00:00:00
researchTeam since,2022-01-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-28 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
