,BIGC
% Above Low,0.0525
% Held by Institutions,0.7129000000000001
52-Wk Range,['7.81 - 49.31']
Annual Dividend $,
Annual Dividend %,
Ask,8.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,8.2
Bid Size,100.0
Closing Price,8.22
Day Change $,-0.23
Day Change %,-0.027200000000000002
Day High,8.55
Day Low,8.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.94
Ex-dividend Date,No dividend
Historical Volatility,0.929
Last (size),60.0
Last (time),12:59p ET 11/25/22
Market Cap,604.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.45
Short Interest,0.0625
Today's Open,8.38
Volume,333171.0
Volume 10-day Avg,1804207.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.31775700934579443
Growth 1yr High Est,0.1724137931034484
Growth 1yr Consensus Est,-0.07267160812117301
Growth 2yr Low Est,-0.1794264498783767
Growth 2yr High Est,-0.13438133874239344
Growth 2yr Consensus Est,-0.15690389431038507
Growth 5yr Low Est,-0.11961763325225112
Growth 5yr High Est,-0.08958755916159562
Growth 5yr Consensus Est,-0.10460259620692337
Growth 5yr Actual/Est,0.09584884321914093
Growth 3yr Historic,-0.1940928270042194
Price/Earnings (TTM),
Price/Sales (TTM),2.23045
Price/Book (MRQ),9.30435
Price/Cash Flow (TTM),
5yr Low,7.81
5yr High,162.5
5yr Avg Return,-0.42550000000000004
Short Int Current Month,4321330.0
Short Int Prev Month,5733791.0
Short Int Pct of Float,0.06250130000000001
Days to Cover,2.18417
Float,69.19928
Shares Outstanding,73.68094
Institutions Holding Shares,226.0
FCF Growth 5yr,0.5104326925297912
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7491
Operating Profit Margin (TTM),-0.5144
Net Profit Margin (TTM),-0.5199
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.23940000000000003
EPS Growth (TTM),-1.4075
Revenue Growth (MRQ),0.061399999999999996
Revenue Growth (TTM),0.37070000000000003
Return On Equity (TTM),-1.2478
Return On Assets (TTM),-0.271
Return On Investment (TTM),-0.30469999999999997
Revenue Per Employee (TTM),203097.0
Total Debt/Total Capital (MRQ),0.8381000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-11-08 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
theStreet since,2021-11-08 00:00:00
newConstructs since,
marketEdge opinion since,
