,BIGC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),2.23,19.35,Valuation,0.1152454780361757
Price/Book (MRQ),9.3,19.03,Valuation,0.488702049395691
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.7491,0.44520000000000004,Profitability,1.6826145552560645
Operating Profit Margin (TTM),-0.5144,0.3027,Profitability,-1.6993723158242482
Net Profit Margin (TTM),-0.5199,0.23600000000000002,Profitability,-2.202966101694915
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.23940000000000003,-3.5569,Gowth rates,-0.06730579999437714
EPS Growth (TTM),-1.4075,0.15560000000000002,Gowth rates,-9.045629820051413
Revenue Growth (MRQ),0.061399999999999996,0.16460000000000002,Gowth rates,0.3730255164034021
Revenue Growth (TTM),0.37070000000000003,0.2273,Gowth rates,1.6308842938847339
Return On Equity (TTM),-1.2478,0.5459,Effectiveness,-2.2857666239237955
Return On Assets (TTM),-0.271,0.1131,Effectiveness,-2.396109637488948
Return On Investment (TTM),-0.30469999999999997,0.18910000000000002,Effectiveness,-1.6113167636171335
Revenue Per Employee (TTM),203097.0,686074.0,Effectiveness,0.2960278337322213
Total Debt/Total Capital (MRQ),0.8381000000000001,0.5613,Financial strength,1.493140922857652
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0048,Financial strength,0.35416666666666674
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
