,WFC
Price/Earnings (TTM),12.32339
Price/Sales (TTM),2.41087
Price/Book (MRQ),1.15323
Price/Cash Flow (TTM),8.0022
5yr Low,20.76
5yr High,66.31
5yr Avg Return,0.02103333333333333
EPS Growth 5yr,0.0439475
Revenue Growth 5yr,-0.0585224
Dividend Growth 5yr,-0.169102
Short Int Current Month,30485946.0
Short Int Prev Month,30458088.0
Short Int Pct of Float,0.0080144
Days to Cover,1.51787
Float,3804.208
Shares Outstanding,3810.491
Institutions Holding Shares,2416.0
% Held by Institutions,0.7298520000000001
FCF Growth 5yr,
