,WFC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.32,11.43,Valuation,1.0778652668416449
Price/Sales (TTM),2.41,3.3,Valuation,0.7303030303030303
Price/Book (MRQ),1.15,1.46,Valuation,0.7876712328767123
"PEG Ratio (TTM, GAAP)",1.85,1.15,Valuation,1.6086956521739133
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.27440000000000003,0.34240000000000004,Profitability,0.8014018691588786
Net Profit Margin (TTM),0.22210000000000002,0.2812,Profitability,0.7898293029871978
Annual Dividend Yield,0.0253,0.028700000000000003,Dividend,0.881533101045296
Dividend Change %,-0.5082,-0.0086,Dividend,59.093023255813954
"Dividend Growth Rate, 3 Years",-0.2848,0.0734,Dividend,-3.8801089918256126
EPS Growth (MRQ),0.1431,-0.0335,Gowth rates,-4.271641791044776
EPS Growth (TTM),-0.09050000000000001,-0.09960000000000001,Gowth rates,0.9086345381526105
Revenue Growth (MRQ),0.25420000000000004,0.5429,Gowth rates,0.46822619266899984
Revenue Growth (TTM),0.1552,0.2466,Gowth rates,0.6293592862935928
Return On Equity (TTM),0.092,0.1135,Effectiveness,0.8105726872246696
Return On Assets (TTM),0.0087,0.0099,Effectiveness,0.8787878787878787
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0009,Financial strength,0.4444444444444445
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
