,WFC
% Above Low,0.2857
% Held by Institutions,0.7299
52-Wk Range,['36.54 - 60.30']
Annual Dividend $,1.2
Annual Dividend %,0.0253
Ask,48.0
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,1.2
Bid,44.0
Bid Size,300.0
Closing Price,46.98
Day Change $,-0.46
Day Change %,-0.0097
Day High,47.75
Day Low,46.92
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.85
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.34500000000000003
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,179.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.32
Prev Close,47.44
Short Interest,0.008
Today's Open,47.12
Volume,12493529.0
Volume 10-day Avg,12657887.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-13 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.19158878504672905
Growth 1yr High Est,-0.3041144901610018
Growth 1yr Consensus Est,-0.24785163760386542
Growth 2yr Low Est,-0.08567878558694841
Growth 2yr High Est,0.10758285774726262
Growth 2yr Consensus Est,0.010952036080157102
Growth 5yr Low Est,-0.08567878558694841
Growth 5yr High Est,0.10758285774726262
Growth 5yr Consensus Est,0.010952036080157102
Growth 5yr Actual/Est,2.5004261863053983
Growth 3yr Historic,2.4643330322192116
Price/Earnings (TTM),12.32339
Price/Sales (TTM),2.41087
Price/Book (MRQ),1.15323
Price/Cash Flow (TTM),8.0022
5yr Low,20.76
5yr High,66.31
5yr Avg Return,0.02103333333333333
EPS Growth 5yr,0.0439475
Revenue Growth 5yr,-0.0585224
Dividend Growth 5yr,-0.169102
Short Int Current Month,30485946.0
Short Int Prev Month,30458088.0
Short Int Pct of Float,0.0080144
Days to Cover,1.51787
Float,3804.208
Shares Outstanding,3810.491
Institutions Holding Shares,2416.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",12.32
"PEG Ratio (TTM, GAAP)",1.85
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.27440000000000003
Net Profit Margin (TTM),0.22210000000000002
Annual Dividend Yield,0.0253
Dividend Change %,-0.5082
"Dividend Growth Rate, 3 Years",-0.2848
EPS Growth (MRQ),0.1431
EPS Growth (TTM),-0.09050000000000001
Revenue Growth (MRQ),0.25420000000000004
Revenue Growth (TTM),0.1552
Return On Equity (TTM),0.092
Return On Assets (TTM),0.0087
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
theStreet since,2021-10-15 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-14 00:00:00
ford since,2022-06-17 00:00:00
marketEdge opinion since,
