,TRNS
Price/Earnings (TTM),63.00536
Price/Sales (TTM),2.90042
Price/Book (MRQ),6.84401
Price/Cash Flow (TTM),30.14883
5yr Low,12.75
5yr High,101.05
5yr Avg Return,0.4398666666666666
EPS Growth 5yr,0.1871651
Revenue Growth 5yr,0.0733033
Dividend Growth 5yr,
Short Int Current Month,156428.0
Short Int Prev Month,152295.0
Short Int Pct of Float,0.021771
Days to Cover,4.1175
Float,7.1567
Shares Outstanding,7.5583
Institutions Holding Shares,145.0
% Held by Institutions,0.906495
FCF Growth 5yr,-1.0675418255537352
