,TRNS
% Below High,0.18780000000000002
% Held by Institutions,0.9065000000000001
52-Wk Range,['50.32 - 97.15']
Annual Dividend $,
Annual Dividend %,
Ask,127.24
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,78.74
Bid Size,100.0
Closing Price,78.91
Day Change $,-4.7
Day Change %,-0.0562
Day High,83.64
Day Low,78.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.33
Ex-dividend Date,No dividend
Historical Volatility,0.46299999999999997
Last (size),302.0
Last (time),4:00p ET 11/28/22
Market Cap,596.4M
"P/E Ratio (TTM, GAAP)",63.01
Prev Close,83.61
Short Interest,0.0218
Today's Open,83.64
Volume,29687.0
Volume 10-day Avg,32077.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.13245033112582782
Growth 1yr High Est,-0.07741935483870976
Growth 1yr Consensus Est,-0.1049348429822688
Growth 2yr Low Est,0.09789697184166624
Growth 2yr High Est,0.1605910218813445
Growth 2yr Consensus Est,0.12924399686150537
Growth 5yr Low Est,0.09789697184166624
Growth 5yr High Est,0.1605910218813445
Growth 5yr Consensus Est,0.12924399686150537
Growth 5yr Actual/Est,0.1633069531429873
Growth 3yr Historic,0.10250359582883856
Price/Earnings (TTM),63.00536
Price/Sales (TTM),2.90042
Price/Book (MRQ),6.84401
Price/Cash Flow (TTM),30.14883
5yr Low,12.75
5yr High,101.05
5yr Avg Return,0.4398666666666666
EPS Growth 5yr,0.1871651
Revenue Growth 5yr,0.0733033
Dividend Growth 5yr,
Short Int Current Month,156428.0
Short Int Prev Month,152295.0
Short Int Pct of Float,0.021771
Days to Cover,4.1175
Float,7.1567
Shares Outstanding,7.5583
Institutions Holding Shares,145.0
FCF Growth 5yr,-1.0675418255537352
"Price/Earnings (TTM, GAAP)",63.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2897
Operating Profit Margin (TTM),0.0647
Net Profit Margin (TTM),0.0464
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.23440000000000003
EPS Growth (TTM),-0.1368
Revenue Growth (MRQ),0.0325
Revenue Growth (TTM),0.14070000000000002
Return On Equity (TTM),0.1168
Return On Assets (TTM),0.058600000000000006
Return On Investment (TTM),0.0677
Revenue Per Employee (TTM),237344.0
Total Debt/Total Capital (MRQ),0.355
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.84
Interest Coverage (MRQ),6.59
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2016-11-25 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
