,PRMW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,30.98,Valuation,
Price/Sales (TTM),1.12,5.41,Valuation,0.20702402957486138
Price/Book (MRQ),1.95,12.08,Valuation,0.16142384105960264
"PEG Ratio (TTM, GAAP)",,1.83,Valuation,
Gross Profit Margin (TTM),0.5761000000000001,0.5436,Profitability,1.059786607799853
Operating Profit Margin (TTM),0.0395,0.2061,Profitability,0.19165453663270257
Net Profit Margin (TTM),-0.013999999999999999,0.1504,Profitability,-0.0930851063829787
Annual Dividend Yield,0.0183,0.0217,Dividend,0.8433179723502304
Dividend Change %,0.0,0.0435,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0233,Dividend,0.0
EPS Growth (MRQ),1.0575,-56.8582,Gowth rates,-0.01859890042245446
EPS Growth (TTM),-0.49420000000000003,-0.16890000000000002,Gowth rates,2.92599171107164
Revenue Growth (MRQ),0.023100000000000002,0.11,Gowth rates,0.21000000000000002
Revenue Growth (TTM),0.0679,0.1207,Gowth rates,0.5625517812758907
Return On Equity (TTM),-0.023799999999999998,0.37020000000000003,Effectiveness,-0.06428957320367368
Return On Assets (TTM),-0.0085,0.0808,Effectiveness,-0.10519801980198021
Return On Investment (TTM),-0.0105,0.1226,Effectiveness,-0.08564437194127243
Revenue Per Employee (TTM),238364.0,576805.0,Effectiveness,0.41324884493026237
Total Debt/Total Capital (MRQ),0.5435,0.5343,Financial strength,1.0172187909414188
Change in Debt/Total Capital Quarter over Quarter,0.0002,-0.0009,Financial strength,-0.22222222222222224
Quick Ratio (MRQ),0.6,1.07,Financial strength,0.5607476635514018
Interest Coverage (MRQ),1.32,9.45,Financial strength,0.13968253968253969
