,PRMW
% Below High,0.15410000000000001
% Held by Institutions,0.8781
52-Wk Range,['12.15 - 17.91']
Annual Dividend $,0.28
Annual Dividend %,0.0183
Ask,15.15
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,1.1
Bid,15.14
Bid Size,400.0
Day Change $,-0.1
Day Change %,-0.0066
Day High,15.26
Day Low,15.09
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",-0.19
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.327
Last (size),100.0
Last (time),11:34a ET 11/28/22
Market Cap,2.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.25
Price,15.15
Short Interest,0.0095
Today's Open,15.23
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.17543859649122817
Growth 2yr High Est,0.43835616438356184
Growth 2yr Consensus Est,0.306897380437395
Growth 5yr Low Est,0.17543859649122817
Growth 5yr High Est,0.43835616438356184
Growth 5yr Consensus Est,0.306897380437395
Growth 5yr Actual/Est,0.35442551851133935
Growth 3yr Historic,0.24561688311688312
Price/Earnings (TTM),
Price/Sales (TTM),1.12392
Price/Book (MRQ),1.94652
Price/Cash Flow (TTM),11.71913
5yr Low,6.33
5yr High,20.12
5yr Avg Return,-0.012750000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.050166199999999994
Dividend Growth 5yr,0.0
Short Int Current Month,1482833.0
Short Int Prev Month,2333386.0
Short Int Pct of Float,0.009537799999999999
Days to Cover,1.17646
Float,155.6296
Shares Outstanding,160.7942
Institutions Holding Shares,283.0
FCF Growth 5yr,30.434915966386555
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5761000000000001
Operating Profit Margin (TTM),0.0395
Net Profit Margin (TTM),-0.013999999999999999
Annual Dividend Yield,0.0183
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),1.0575
EPS Growth (TTM),-0.49420000000000003
Revenue Growth (MRQ),0.023100000000000002
Revenue Growth (TTM),0.0679
Return On Equity (TTM),-0.023799999999999998
Return On Assets (TTM),-0.0085
Return On Investment (TTM),-0.0105
Revenue Per Employee (TTM),238364.0
Total Debt/Total Capital (MRQ),0.5435
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.6
Interest Coverage (MRQ),1.32
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-13 00:00:00
theStreet since,2022-02-25 00:00:00
cfra since,
ford since,2022-06-24 00:00:00
newConstructs since,
marketEdge opinion since,
