,APLS
% Above Low,0.5294
% Held by Institutions,0.8813
52-Wk Range,['33.32 - 70.00']
Annual Dividend $,
Annual Dividend %,
Ask,70.0
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.2
Bid,46.01
Bid Size,500.0
Closing Price,50.96
Day Change $,1.47
Day Change %,0.0297
Day High,51.18
Day Low,48.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.24
Ex-dividend Date,No dividend
Historical Volatility,0.669
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,5.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,49.49
Short Interest,0.11130000000000001
Today's Open,48.87
Volume,555881.0
Volume 10-day Avg,1772130.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.20337197049525824
Growth 1yr High Est,-0.2686762778505898
Growth 1yr Consensus Est,-0.236024124172924
Growth 2yr Low Est,-0.12218863075027458
Growth 2yr High Est,-0.2983166335489508
Growth 2yr Consensus Est,-0.2102526321496127
Growth 5yr Low Est,-0.12218863075027458
Growth 5yr High Est,-0.2983166335489508
Growth 5yr Consensus Est,-0.2102526321496127
Growth 5yr Actual/Est,0.10444565497950775
Growth 3yr Historic,0.21566515495086924
Price/Earnings (TTM),
Price/Sales (TTM),49.84502
Price/Book (MRQ),18.31348
Price/Cash Flow (TTM),
5yr Low,11.45
5yr High,73.0
5yr Avg Return,0.3858166666666667
Short Int Current Month,10387056.0
Short Int Prev Month,9732254.0
Short Int Pct of Float,0.11129720000000001
Days to Cover,4.48355
Float,93.51853
Shares Outstanding,110.5755
Institutions Holding Shares,351.0
FCF Growth 5yr,0.28723375340615215
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9313
Operating Profit Margin (TTM),-4.8904000000000005
Net Profit Margin (TTM),-5.6091999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.19820000000000002
EPS Growth (TTM),0.008
Revenue Growth (MRQ),0.35130000000000006
Revenue Growth (TTM),-0.5589000000000001
Return On Equity (TTM),-5.0711
Return On Assets (TTM),-0.9068
Return On Investment (TTM),-1.0667
Revenue Per Employee (TTM),237498.0
Total Debt/Total Capital (MRQ),0.5936
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),6.69
Interest Coverage (MRQ),-30.02
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2022-10-31 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
