,APLS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),49.85,45.03,Valuation,1.1070397512769266
Price/Book (MRQ),18.31,12.61,Valuation,1.4520222045995241
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9313,0.5874,Profitability,1.5854613551242764
Operating Profit Margin (TTM),-4.8904000000000005,-4.7459,Profitability,1.0304473334878528
Net Profit Margin (TTM),-5.6091999999999995,-4.5467,Profitability,1.2336859700442078
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.19820000000000002,-0.0014000000000000002,Gowth rates,141.57142857142856
EPS Growth (TTM),0.008,0.027200000000000002,Gowth rates,0.29411764705882354
Revenue Growth (MRQ),0.35130000000000006,1.3963999999999999,Gowth rates,0.2515754798052135
Revenue Growth (TTM),-0.5589000000000001,0.9747,Gowth rates,-0.5734072022160666
Return On Equity (TTM),-5.0711,0.1967,Effectiveness,-25.780884595831214
Return On Assets (TTM),-0.9068,0.0016,Effectiveness,-566.75
Return On Investment (TTM),-1.0667,0.0219,Effectiveness,-48.70776255707763
Revenue Per Employee (TTM),237498.0,1476201.0,Effectiveness,0.16088459498401642
Total Debt/Total Capital (MRQ),0.5936,0.4675,Financial strength,1.2697326203208557
Change in Debt/Total Capital Quarter over Quarter,0.0032,0.0036,Financial strength,0.888888888888889
Quick Ratio (MRQ),6.69,2.06,Financial strength,3.2475728155339807
Interest Coverage (MRQ),-30.02,2.69,Financial strength,-11.159851301115241
