,ABCL
% Below High,0.1497
% Held by Institutions,0.4625
52-Wk Range,['5.42 - 15.90']
Annual Dividend $,
Annual Dividend %,
Ask,13.92
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,13.48
Bid Size,100.0
Closing Price,13.52
Day Change $,-0.48
Day Change %,-0.034300000000000004
Day High,14.14
Day Low,13.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.8
Ex-dividend Date,No dividend
Historical Volatility,0.685
Last (size),500.0
Last (time),12:59p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",16.91
Prev Close,14.0
Short Interest,0.0874
Today's Open,13.98
Volume,598559.0
Volume 10-day Avg,1898602.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.2195121951219512
Growth 1yr High Est,0.7090909090909088
Growth 1yr Consensus Est,0.46430155210643
Growth 2yr Low Est,-0.8702439024390244
Growth 2yr High Est,-0.3209864603481627
Growth 2yr Consensus Est,-0.5956151813935935
Growth 5yr Low Est,-0.8702439024390244
Growth 5yr High Est,-0.3209864603481627
Growth 5yr Consensus Est,-0.5956151813935936
Growth 5yr Actual/Est,-0.4132936507936508
Growth 3yr Historic,0.022222222222222216
Price/Earnings (TTM),16.91311
Price/Sales (TTM),6.41247
Price/Book (MRQ),3.09037
Price/Cash Flow (TTM),14.51938
5yr Low,5.42
5yr High,71.91
5yr Avg Return,-0.3495
Short Int Current Month,17800149.0
Short Int Prev Month,18230211.0
Short Int Pct of Float,0.08740719999999999
Days to Cover,6.68199
Float,203.8323
Shares Outstanding,286.1004
Institutions Holding Shares,233.0
FCF Growth 5yr,0.6161434353980506
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",16.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5568
Net Profit Margin (TTM),0.4117
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),4.5376
EPS Growth (TTM),0.11810000000000001
Revenue Growth (MRQ),1.208
Revenue Growth (TTM),0.3592
Return On Equity (TTM),0.2254
Return On Assets (TTM),0.18230000000000002
Return On Investment (TTM),0.1933
Revenue Per Employee (TTM),1562725.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
theStreet since,2022-02-25 00:00:00
newConstructs since,
marketEdge opinion since,
