,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,71.91,55.22,14.97,,,,,
low,37.62,12.2,5.42,,,,,
change,-0.3403,-0.6425,-0.06570000000000001,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,476.0,546.0,791.0,372.0,Balance Sheet
"Trade Accts Recvble, Net",,,,407.0,575.0,284.0,602.0,Balance Sheet
Other Receivables,,,,14.0,,,,Balance Sheet
"Total Receivables, Net",,,,422.0,575.0,284.0,602.0,Balance Sheet
Total Inventory,,,,2.0,,,,Balance Sheet
Prepaid Expenses,,,,5.0,,,,Balance Sheet
Restricted Cash - Current,,,,25.0,25.0,25.0,25.0,Balance Sheet
Other Current Assets,,,,,29.0,44.0,46.0,Balance Sheet
"Other Curr. Assets, Total",,,,25.0,54.0,69.0,71.0,Balance Sheet
Total Current Assets,,,,930.0,1174.0,1144.0,1046.0,Balance Sheet
Buildings,,,,24.0,29.0,32.0,40.0,Balance Sheet
Land/Improvements,,,,33.0,33.0,53.0,53.0,Balance Sheet
Machinery/Equipment,,,,27.0,34.0,40.0,45.0,Balance Sheet
Other Prop./Plant/Equip.,,,,38.0,37.0,36.0,78.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,121.0,133.0,162.0,216.0,Balance Sheet
Accumulated Depreciation,,,,-10.0,-11.0,-13.0,-16.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,112.0,122.0,149.0,201.0,Balance Sheet
"Goodwill, Net",,,,48.0,48.0,48.0,48.0,Balance Sheet
Intangibles - Gross,,,,161.0,161.0,161.0,163.0,Balance Sheet
Accum. Intangible Amort.,,,,-13.0,-15.0,-18.0,-20.0,Balance Sheet
Intangibles - Net,,,,148.0,146.0,143.0,143.0,Balance Sheet
Long Term Investments,,,,50.0,59.0,66.0,67.0,Balance Sheet
Other Long Term Assets,,,,31.0,43.0,44.0,49.0,Balance Sheet
Total Assets,,,,1319.0,1592.0,1594.0,1552.0,Balance Sheet
Payable/Accrued,,,,15.0,10.0,10.0,9.0,Balance Sheet
Accrued Expenses,,,,4.0,4.0,4.0,5.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,,Balance Sheet
Customer Advances,,,,12.0,14.0,10.0,13.0,Balance Sheet
Income Taxes Payable,,,,36.0,106.0,107.0,23.0,Balance Sheet
Other Payables,,,,27.0,52.0,55.0,24.0,Balance Sheet
Other Current Liabilities,,,,28.0,27.0,34.0,33.0,Balance Sheet
"Other Curr. Lblts, Total",,,,102.0,199.0,207.0,92.0,Balance Sheet
Total Current Liabilities,,,,121.0,213.0,221.0,106.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,37.0,37.0,35.0,34.0,Balance Sheet
"Other Liabilities, Total",,,,135.0,135.0,125.0,162.0,Balance Sheet
Total Liabilities,,,,293.0,385.0,381.0,302.0,Balance Sheet
Common Stock,,,,722.0,726.0,727.0,730.0,Balance Sheet
Additional Paid-In Capital,,,,35.0,45.0,56.0,64.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,268.0,436.0,429.0,456.0,Balance Sheet
"Other Equity, Total",,,,0.0,1.0,1.0,-1.0,Balance Sheet
Total Equity,,,,1026.0,1208.0,1213.0,1250.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1319.0,1592.0,1594.0,1552.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,283.0,285.0,285.0,286.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,139331.0,316581.0,45917.0,101383.0,Income Statement
Selling/Gen/Admin Expense,,,,10219.0,10284.0,11997.0,10681.0,Income Statement
Labor & Related Expense,,,,4498.0,6354.0,5535.0,6200.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,14717.0,16638.0,17532.0,16881.0,Income Statement
Research & Development,,,,17209.0,26366.0,26685.0,26582.0,Income Statement
Depreciation/Amortization,,,,3958.0,3990.0,4886.0,5150.0,Income Statement
"Other Operat Expse, Total",,,,21894.0,44637.0,5210.0,15035.0,Income Statement
Total Operating Expense,,,,57778.0,91631.0,54313.0,63648.0,Income Statement
Total Operating Income,,,,81553.0,224950.0,-8396.0,37735.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-5225.0,,,,Income Statement
"Inter Income, Non-Operating",,,,3330.0,,,,Income Statement
"Invest Income, Non-Operat",,,,-855.0,1200.0,,,Income Statement
"Inter/Invest Inc, Non-Oper",,,,2475.0,1200.0,,,Income Statement
OtherNon-OperatInc (Expnse),,,,5907.0,4659.0,1510.0,8852.0,Income Statement
"Other, Net",,,,5907.0,4659.0,1510.0,8852.0,Income Statement
Income Before Tax,,,,84710.0,230809.0,-6886.0,46587.0,Income Statement
Income Tax - Total,,,,24762.0,62236.0,-101.0,19963.0,Income Statement
Income After Tax,,,,59948.0,168573.0,-6785.0,26624.0,Income Statement
Net Inc Before Extra Items,,,,59948.0,168573.0,-6785.0,26624.0,Income Statement
Total Net Income,,,,59948.0,168573.0,-6785.0,26624.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,59948.0,168573.0,-6785.0,26624.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,59948.0,168573.0,-6785.0,26624.0,Income Statement
Basic/Primary Weighted Average Shares,,,,282127.0,283895.0,284687.0,285323.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,0.21,0.59,-0.02,0.09,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,0.21,0.59,-0.02,0.09,Income Statement
Diluted Weighted Average Shares,,,,303208.0,311482.0,284687.0,315818.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,0.2,0.54,-0.02,0.08,Income Statement
Diluted EPS Incl. Extra. Items,,,,0.2,0.54,-0.02,0.08,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,5225.0,,,,Income Statement
"Depreciat/Amort, Suppl",,,,1343.0,1400.0,2300.0,2531.0,Income Statement
Normalzd Income Before Tax,,,,84710.0,230809.0,-6886.0,46587.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,24762.0,62236.0,-101.0,19963.0,Income Statement
Normalized Income After Tax,,,,59948.0,168573.0,-6785.0,26624.0,Income Statement
