,PSTG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,22.87,Valuation,
Price/Sales (TTM),3.59,5.73,Valuation,0.6265270506108201
Price/Book (MRQ),11.95,44.1,Valuation,0.27097505668934235
"PEG Ratio (TTM, GAAP)",,2.57,Valuation,
Gross Profit Margin (TTM),0.6778000000000001,0.4263,Profitability,1.5899601219798265
Operating Profit Margin (TTM),0.0085,0.2867,Profitability,0.029647715381932335
Net Profit Margin (TTM),-0.005699999999999999,0.23690000000000003,Profitability,-0.02406078514140987
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.0593,Dividend,
"Dividend Growth Rate, 3 Years",,0.0618,Dividend,
EPS Growth (MRQ),1.8959000000000001,0.0139,Gowth rates,136.39568345323744
EPS Growth (TTM),0.943,0.0891,Gowth rates,10.58361391694725
Revenue Growth (MRQ),0.0425,0.0784,Gowth rates,0.542091836734694
Revenue Growth (TTM),0.3926,0.0893,Gowth rates,4.396416573348264
Return On Equity (TTM),-0.0197,1.7101,Effectiveness,-0.011519794164083972
Return On Assets (TTM),-0.0049,0.27030000000000004,Effectiveness,-0.018128005919348867
Return On Investment (TTM),-0.008100000000000001,0.45,Effectiveness,-0.018000000000000002
Revenue Per Employee (TTM),604402.0,2289443.0,Effectiveness,0.26399521630370354
Total Debt/Total Capital (MRQ),0.43340000000000006,0.7151000000000001,Financial strength,0.606069081247378
Change in Debt/Total Capital Quarter over Quarter,-0.0031,-0.0004,Financial strength,7.749999999999999
Quick Ratio (MRQ),1.29,0.84,Financial strength,1.5357142857142858
Interest Coverage (MRQ),11.28,317.99,Financial strength,0.03547281361049089
