,PSTG
% Below High,0.18510000000000001
% Held by Institutions,0.8403
52-Wk Range,['21.90 - 36.71']
Annual Dividend $,
Annual Dividend %,
Ask,29.92
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.3
Bid,29.91
Bid Size,300.0
Day Change $,-0.545
Day Change %,-0.0179
Day High,30.68
Day Low,29.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.45799999999999996
Last (size),100.0
Last (time),11:44a ET 11/28/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.46
Price,29.92
Short Interest,0.0866
Today's Open,30.25
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.05555555555555558
Growth 2yr High Est,0.17741935483870974
Growth 2yr Consensus Est,0.06093189964157708
Growth 5yr Low Est,-0.05555555555555558
Growth 5yr High Est,0.17741935483870974
Growth 5yr Consensus Est,0.06093189964157708
Growth 5yr Actual/Est,0.792561700751356
Growth 3yr Historic,0.6349137931034483
Price/Earnings (TTM),
Price/Sales (TTM),3.5868
Price/Book (MRQ),11.95427
Price/Cash Flow (TTM),116.8258
5yr Low,7.93
5yr High,36.71
5yr Avg Return,0.10211666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.241584
Dividend Growth 5yr,
Short Int Current Month,24346562.0
Short Int Prev Month,24003598.0
Short Int Pct of Float,0.0866208
Days to Cover,6.76631
Float,281.0581
Shares Outstanding,298.9182
Institutions Holding Shares,526.0
FCF Growth 5yr,0.3131407363795648
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6778000000000001
Operating Profit Margin (TTM),0.0085
Net Profit Margin (TTM),-0.005699999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.8959000000000001
EPS Growth (TTM),0.943
Revenue Growth (MRQ),0.0425
Revenue Growth (TTM),0.3926
Return On Equity (TTM),-0.0197
Return On Assets (TTM),-0.0049
Return On Investment (TTM),-0.008100000000000001
Revenue Per Employee (TTM),604402.0
Total Debt/Total Capital (MRQ),0.43340000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),1.29
Interest Coverage (MRQ),11.28
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-26 00:00:00
theStreet since,2021-08-26 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-05-30 00:00:00
ford since,2022-09-02 00:00:00
marketEdge opinion since,
