,UCBI
% Below High,0.0296
% Held by Institutions,0.8674
52-Wk Range,['27.85 - 39.50']
Annual Dividend $,0.88
Annual Dividend %,0.0225
Ask,38.67
Ask Size,6200.0
B/A Ratio,0.016129032258064516
B/A Size,100x6200
Beta,1.0
Bid,38.08
Bid Size,100.0
Closing Price,38.33
Day Change $,-0.8
Day Change %,-0.0204
Day High,38.89
Day Low,37.92
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",2.33
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.29600000000000004
Last (size),5.0
Last (time),4:00p ET 11/28/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.78
Prev Close,39.13
Short Interest,0.0166
Today's Open,38.47
Volume,352698.0
Volume 10-day Avg,535379.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.10264900662251653
Growth 1yr High Est,-0.112540192926045
Growth 1yr Consensus Est,-0.10759459977428076
Growth 2yr Low Est,0.04830649299870482
Growth 2yr High Est,0.08141106295726741
Growth 2yr Consensus Est,0.06485877797798612
Growth 5yr Low Est,0.09680281914892508
Growth 5yr High Est,0.1187646032085915
Growth 5yr Consensus Est,0.10778371117875829
Growth 5yr Actual/Est,0.12729930815008375
Growth 3yr Historic,0.09813470842882607
Price/Earnings (TTM),16.77592
Price/Sales (TTM),5.05679
Price/Book (MRQ),1.6366
Price/Cash Flow (TTM),
5yr Low,14.95
5yr High,39.5
5yr Avg Return,0.07225000000000001
EPS Growth 5yr,0.1620894
Revenue Growth 5yr,0.1155542
Dividend Growth 5yr,0.21058330000000003
Short Int Current Month,1752894.0
Short Int Prev Month,2240838.0
Short Int Pct of Float,0.016604300000000002
Days to Cover,3.20595
Float,105.5741
Shares Outstanding,106.1698
Institutions Holding Shares,336.0
FCF Growth 5yr,0.25001006659037756
"Price/Earnings (TTM, GAAP)",16.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3848
Net Profit Margin (TTM),0.3019
Annual Dividend Yield,0.0225
Dividend Change %,0.0833
"Dividend Growth Rate, 3 Years",0.1038
EPS Growth (MRQ),0.2207
EPS Growth (TTM),-0.2409
Revenue Growth (MRQ),0.14150000000000001
Revenue Growth (TTM),0.2115
Return On Equity (TTM),0.1051
Return On Assets (TTM),0.0115
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-11-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
