,AVT
% Below High,0.10060000000000001
% Held by Institutions,0.9781
52-Wk Range,['35.45 - 50.19']
Annual Dividend $,1.16
Annual Dividend %,0.025699999999999997
Ask,45.51
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,44.77
Bid Size,100.0
Closing Price,45.14
Day Change $,-0.07
Day Change %,-0.0015
Day High,45.36
Day Low,44.85
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",7.78
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.33299999999999996
Last (size),57.0
Last (time),1:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.8
Prev Close,45.21
Short Interest,0.052300000000000006
Today's Open,45.0
Volume,146557.0
Volume 10-day Avg,512343.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.0676470588235294
Growth 1yr High Est,0.11587982832618016
Growth 1yr Consensus Est,0.02411638475132538
Growth 2yr Low Est,-0.15054277231397284
Growth 2yr High Est,0.06306811929129519
Growth 2yr Consensus Est,-0.043737326511338825
Growth 5yr Low Est,-0.15054277231397284
Growth 5yr High Est,0.06306811929129519
Growth 5yr Consensus Est,-0.043737326511338825
Growth 5yr Actual/Est,0.44781509124741115
Growth 3yr Historic,0.4714067361261847
Price/Earnings (TTM),5.79988
Price/Sales (TTM),0.16216
Price/Book (MRQ),1.03692
Price/Cash Flow (TTM),4.7866
5yr Low,17.85
5yr High,50.19
5yr Avg Return,0.025250000000000005
EPS Growth 5yr,0.27644369999999996
Revenue Growth 5yr,0.0686867
Dividend Growth 5yr,0.0739409
Short Int Current Month,4753490.0
Short Int Prev Month,5021373.0
Short Int Pct of Float,0.0523248
Days to Cover,6.97768
Float,90.89776
Shares Outstanding,91.5173
Institutions Holding Shares,456.0
FCF Growth 5yr,1.5845875719054512
"Price/Earnings (TTM, GAAP)",5.8
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1207
Operating Profit Margin (TTM),0.0417
Net Profit Margin (TTM),0.03
Annual Dividend Yield,0.0257
Dividend Change %,0.1765
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),-0.23199999999999998
EPS Growth (TTM),1.4223
Revenue Growth (MRQ),0.0592
Revenue Growth (TTM),0.24910000000000002
Return On Equity (TTM),0.1875
Return On Assets (TTM),0.0759
Return On Investment (TTM),0.1234
Revenue Per Employee (TTM),1665108.0
Total Debt/Total Capital (MRQ),0.3678
Change in Debt/Total Capital Quarter over Quarter,0.0040999999999999995
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),6.44
researchTeam,rating-box
cfra,
theStreet,rating-box
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
cfra since,2022-04-28 00:00:00
theStreet since,2021-10-29 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
