,OSIS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.64,21.62,Valuation,0.6771507863089732
Price/Sales (TTM),1.29,5.43,Valuation,0.2375690607734807
Price/Book (MRQ),2.41,5.49,Valuation,0.43897996357012753
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.35200000000000004,0.33659999999999995,Profitability,1.0457516339869284
Operating Profit Margin (TTM),0.0984,-0.0824,Profitability,-1.1941747572815533
Net Profit Margin (TTM),0.0917,-0.1173,Profitability,-0.7817561807331629
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.6635,0.1058,Gowth rates,-6.2712665406427215
EPS Growth (TTM),0.3412,-0.0147,Gowth rates,-23.2108843537415
Revenue Growth (MRQ),-0.2041,0.1655,Gowth rates,-1.2332326283987916
Revenue Growth (TTM),0.0007000000000000001,0.1855,Gowth rates,0.003773584905660378
Return On Equity (TTM),0.1723,0.23850000000000002,Effectiveness,0.7224318658280923
Return On Assets (TTM),0.0747,0.0752,Effectiveness,0.9933510638297872
Return On Investment (TTM),0.12960000000000002,0.1041,Effectiveness,1.2449567723342942
Revenue Per Employee (TTM),186099.0,449465.0,Effectiveness,0.4140455875318434
Total Debt/Total Capital (MRQ),0.36960000000000004,0.3575,Financial strength,1.033846153846154
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0362,Financial strength,0.033149171270718224
Quick Ratio (MRQ),0.73,1.53,Financial strength,0.4771241830065359
Interest Coverage (MRQ),5.69,15.46,Financial strength,0.3680465717981889
