,OSIS
% Below High,0.1419
% Held by Institutions,0.9247
52-Wk Range,['69.31 - 103.17']
Annual Dividend $,
Annual Dividend %,
Ask,89.11
Ask Size,700.0
B/A Ratio,1.0
B/A Size,700x700
Beta,0.8
Bid,88.44
Bid Size,700.0
Day Change $,-0.8261
Day Change %,-0.0092
Day High,89.04
Day Low,88.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.1
Ex-dividend Date,No dividend
Historical Volatility,0.262
Last (size),5.0
Last (time),9:39a ET 11/28/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.64
Prev Close,89.36
Price,88.53
Short Interest,0.0206
Today's Open,89.04
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.05372616984402079
Growth 1yr High Est,0.047700170357751315
Growth 1yr Consensus Est,0.05071317010088605
Growth 2yr Low Est,0.06386966386937887
Growth 2yr High Est,0.09539480062603012
Growth 2yr Consensus Est,0.07963223224770449
Growth 5yr Low Est,0.10842087462762873
Growth 5yr High Est,0.1158509572823615
Growth 5yr Consensus Est,0.11213591595499511
Growth 5yr Actual/Est,0.1045254303414287
Growth 3yr Historic,0.06215675057208242
Price/Earnings (TTM),14.63944
Price/Sales (TTM),1.28505
Price/Book (MRQ),2.41108
Price/Cash Flow (TTM),10.30686
5yr Low,49.96
5yr High,117.21
5yr Avg Return,0.019983333333333332
EPS Growth 5yr,0.4323957
Revenue Growth 5yr,0.0424951
Dividend Growth 5yr,
Short Int Current Month,325763.0
Short Int Prev Month,350109.0
Short Int Pct of Float,0.0206377
Days to Cover,3.46907
Float,15.90118
Shares Outstanding,16.85476
Institutions Holding Shares,262.0
FCF Growth 5yr,-0.8512362704118187
"Price/Earnings (TTM, GAAP)",14.64
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35200000000000004
Operating Profit Margin (TTM),0.0984
Net Profit Margin (TTM),0.0917
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6635
EPS Growth (TTM),0.3412
Revenue Growth (MRQ),-0.2041
Revenue Growth (TTM),0.0007000000000000001
Return On Equity (TTM),0.1723
Return On Assets (TTM),0.0747
Return On Investment (TTM),0.12960000000000002
Revenue Per Employee (TTM),186099.0
Total Debt/Total Capital (MRQ),0.36960000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),5.69
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-10-01 00:00:00
theStreet since,2022-11-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-03-04 00:00:00
cfra since,
marketEdge opinion since,
