,OPRX
% Above Low,0.48610000000000003
% Held by Institutions,0.7725
52-Wk Range,['13.33 - 69.84']
Annual Dividend $,
Annual Dividend %,
Ask,21.91
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,19.0
Bid Size,100.0
Closing Price,19.81
Day Change $,-0.06
Day Change %,-0.003
Day High,20.23
Day Low,19.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.8029999999999999
Last (size),751.0
Last (time),3:59p ET 11/28/22
Market Cap,339.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,19.87
Short Interest,0.07629999999999999
Today's Open,19.73
Volume,113064.0
Volume 10-day Avg,222217.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.2500000000000001
Growth 1yr High Est,-0.11363636363636365
Growth 1yr Consensus Est,-0.18181818181818188
Growth 2yr Low Est,0.20833333333333331
Growth 2yr High Est,0.31497668997669
Growth 2yr Consensus Est,0.26165501165501165
Growth 5yr Low Est,0.20833333333333331
Growth 5yr High Est,0.31497668997669
Growth 5yr Consensus Est,0.26165501165501165
Growth 5yr Actual/Est,inf
Growth 3yr Historic,inf
Price/Earnings (TTM),
Price/Sales (TTM),5.40061
Price/Book (MRQ),2.69209
Price/Cash Flow (TTM),
5yr Low,3.36
5yr High,99.18
5yr Avg Return,0.5874166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.5121849
Dividend Growth 5yr,
Short Int Current Month,1134457.0
Short Int Prev Month,1100717.0
Short Int Pct of Float,0.0763344
Days to Cover,3.67875
Float,14.86787
Shares Outstanding,17.15272
Institutions Holding Shares,191.0
FCF Growth 5yr,5.126437990812742
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6165
Operating Profit Margin (TTM),-0.17120000000000002
Net Profit Margin (TTM),-0.16620000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.10060000000000001
EPS Growth (TTM),-9.165000000000001
Revenue Growth (MRQ),0.0792
Revenue Growth (TTM),0.0993
Return On Equity (TTM),-0.0818
Return On Assets (TTM),-0.0775
Return On Investment (TTM),-0.0817
Revenue Per Employee (TTM),650603.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-02 00:00:00
theStreet since,2022-09-02 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
