,OPRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-5.17,Valuation,
Price/Sales (TTM),5.4,11.27,Valuation,0.4791481810115351
Price/Book (MRQ),2.69,5.79,Valuation,0.464594127806563
"PEG Ratio (TTM, GAAP)",,0.15,Valuation,
Gross Profit Margin (TTM),0.6165,0.6652,Profitability,0.9267889356584487
Operating Profit Margin (TTM),-0.17120000000000002,-0.46950000000000003,Profitability,0.364643237486688
Net Profit Margin (TTM),-0.16620000000000001,-0.4687,Profitability,0.3545978237678686
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),0.10060000000000001,-0.6163000000000001,Gowth rates,-0.16323219211423007
EPS Growth (TTM),-9.165000000000001,-0.35350000000000004,Gowth rates,25.926449787835928
Revenue Growth (MRQ),0.0792,0.24050000000000002,Gowth rates,0.32931392931392933
Revenue Growth (TTM),0.0993,0.3728,Gowth rates,0.266362660944206
Return On Equity (TTM),-0.0818,-0.09480000000000001,Effectiveness,0.8628691983122362
Return On Assets (TTM),-0.0775,-0.1218,Effectiveness,0.6362889983579638
Return On Investment (TTM),-0.0817,-0.049,Effectiveness,1.66734693877551
Revenue Per Employee (TTM),650603.0,454654.0,Effectiveness,1.4309848808104624
Total Debt/Total Capital (MRQ),0.0,0.2084,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.009000000000000001,Financial strength,
Quick Ratio (MRQ),,0.38,Financial strength,
Interest Coverage (MRQ),,-7.93,Financial strength,
