,DCO
% Below High,0.1213
% Held by Institutions,0.8291
52-Wk Range,['38.89 - 58.18']
Annual Dividend $,
Annual Dividend %,
Ask,80.28
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,1.3
Bid,33.63
Bid Size,400.0
Closing Price,51.12
Day Change $,-0.09
Day Change %,-0.0018
Day High,52.6
Day Low,51.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.72
Ex-dividend Date,No dividend
Historical Volatility,0.35100000000000003
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,618.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.77
Prev Close,51.21
Short Interest,0.0083
Today's Open,51.55
Volume,9961.0
Volume 10-day Avg,29939.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.1715328467153283
Growth 1yr High Est,0.10810810810810811
Growth 1yr Consensus Est,0.1398204774117182
Growth 2yr Low Est,0.13405302771903493
Growth 2yr High Est,0.11198088332234679
Growth 2yr Consensus Est,0.12301695552069086
Growth 5yr Low Est,0.09344401709502764
Growth 5yr High Est,0.07816623125641564
Growth 5yr Consensus Est,0.08580512417572164
Growth 5yr Actual/Est,0.07439523421483438
Growth 3yr Historic,0.021706864564007416
Price/Earnings (TTM),4.76924
Price/Sales (TTM),0.89778
Price/Book (MRQ),1.21597
Price/Cash Flow (TTM),3.81534
5yr Low,16.27
5yr High,65.4
5yr Avg Return,0.12688333333333335
EPS Growth 5yr,0.3768756
Revenue Growth 5yr,0.0322709
Dividend Growth 5yr,
Short Int Current Month,90236.0
Short Int Prev Month,79478.0
Short Int Pct of Float,0.0082629
Days to Cover,1.91649
Float,10.91862
Shares Outstanding,12.10237
Institutions Holding Shares,164.0
FCF Growth 5yr,0.6843200338595533
"Price/Earnings (TTM, GAAP)",4.77
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2082
Operating Profit Margin (TTM),0.0647
Net Profit Margin (TTM),0.19090000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0377
EPS Growth (TTM),2.8051999999999997
Revenue Growth (MRQ),0.07110000000000001
Revenue Growth (TTM),0.0795
Return On Equity (TTM),0.3032
Return On Assets (TTM),0.14400000000000002
Return On Investment (TTM),0.174
Revenue Per Employee (TTM),277868.0
Total Debt/Total Capital (MRQ),0.32799999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),1.8
Interest Coverage (MRQ),5.17
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-06-10 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-03-09 00:00:00
