,WMB
% Below High,0.1183
% Held by Institutions,0.8348
52-Wk Range,['24.86 - 37.97']
Annual Dividend $,1.7
Annual Dividend %,0.0501
Ask,34.08
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,32.87
Bid Size,100.0
Closing Price,33.48
Day Change $,-0.42
Day Change %,-0.0124
Day High,33.63
Day Low,33.19
Dividend Pay Date,2022-12-26 00:00:00
"EPS (TTM, GAAP)",1.64
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.289
Last (size),1100.0
Last (time),7:00p ET 11/28/22
Market Cap,40.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.72
Prev Close,33.9
Short Interest,0.0161
Today's Open,33.33
Volume,5807460.0
Volume 10-day Avg,5552558.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.07534246575342474
Growth 2yr High Est,0.07608695652173902
Growth 2yr Consensus Est,0.07571471113758188
Growth 5yr Low Est,0.07534246575342474
Growth 5yr High Est,0.07608695652173902
Growth 5yr Consensus Est,0.07571471113758188
Growth 5yr Actual/Est,1.6121771007480725
Growth 3yr Historic,1.5429292929292928
Price/Earnings (TTM),20.71608
Price/Sales (TTM),3.65659
Price/Book (MRQ),3.65918
Price/Cash Flow (TTM),10.30452
5yr Low,8.41
5yr High,37.97
5yr Avg Return,0.04735
EPS Growth 5yr,
Revenue Growth 5yr,0.072214
Dividend Growth 5yr,-0.0048079
Short Int Current Month,19525702.0
Short Int Prev Month,21015100.0
Short Int Pct of Float,0.0160897
Days to Cover,3.18416
Float,1213.959
Shares Outstanding,1218.0
Institutions Holding Shares,1439.0
FCF Growth 5yr,0.23071594388069763
"Price/Earnings (TTM, GAAP)",20.72
"PEG Ratio (TTM, GAAP)",2.53
Gross Profit Margin (TTM),0.642
Operating Profit Margin (TTM),0.2553
Net Profit Margin (TTM),0.18170000000000003
Annual Dividend Yield,0.0501
Dividend Change %,0.025
"Dividend Growth Rate, 3 Years",0.0644
EPS Growth (MRQ),0.4978
EPS Growth (TTM),0.9762000000000001
Revenue Growth (MRQ),0.2133
Revenue Growth (TTM),0.19340000000000002
Return On Equity (TTM),0.17809999999999998
Return On Assets (TTM),0.0434
Return On Investment (TTM),0.0517
Revenue Per Employee (TTM),2360862.0
Total Debt/Total Capital (MRQ),0.6273
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.8
Interest Coverage (MRQ),8.45
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-05-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-11-02 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
