,WMB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.72,9.13,Valuation,2.2694414019715223
Price/Sales (TTM),3.66,7.57,Valuation,0.48348745046235136
Price/Book (MRQ),3.66,4.65,Valuation,0.7870967741935484
"PEG Ratio (TTM, GAAP)",2.53,0.01,Valuation,252.99999999999997
Gross Profit Margin (TTM),0.642,0.35119999999999996,Profitability,1.8280182232346245
Operating Profit Margin (TTM),0.2553,0.192,Profitability,1.3296875000000001
Net Profit Margin (TTM),0.18170000000000003,0.0358,Profitability,5.0754189944134085
Annual Dividend Yield,0.0501,0.0379,Dividend,1.3218997361477571
Dividend Change %,0.025,0.13269999999999998,Dividend,0.1883948756593821
"Dividend Growth Rate, 3 Years",0.0644,0.10189999999999999,Dividend,0.6319921491658489
EPS Growth (MRQ),0.4978,2.3421000000000003,Gowth rates,0.2125442978523547
EPS Growth (TTM),0.9762000000000001,7.2215,Gowth rates,0.1351796718133352
Revenue Growth (MRQ),0.2133,0.7168000000000001,Gowth rates,0.2975725446428571
Revenue Growth (TTM),0.19340000000000002,47.807,Gowth rates,0.004045432677223001
Return On Equity (TTM),0.17809999999999998,0.3993,Effectiveness,0.44603055346856996
Return On Assets (TTM),0.0434,0.15810000000000002,Effectiveness,0.2745098039215686
Return On Investment (TTM),0.0517,0.2237,Effectiveness,0.23111309789897183
Revenue Per Employee (TTM),2360862.0,7554984.0,Effectiveness,0.31249066841173984
Total Debt/Total Capital (MRQ),0.6273,0.3658,Financial strength,1.7148715144887916
Change in Debt/Total Capital Quarter over Quarter,-0.0001,-0.002,Financial strength,0.05
Quick Ratio (MRQ),0.8,0.96,Financial strength,0.8333333333333334
Interest Coverage (MRQ),8.45,13.28,Financial strength,0.6362951807228916
