,WMB
Price/Earnings (TTM),20.71608
Price/Sales (TTM),3.65659
Price/Book (MRQ),3.65918
Price/Cash Flow (TTM),10.30452
5yr Low,8.41
5yr High,37.97
5yr Avg Return,0.04735
EPS Growth 5yr,
Revenue Growth 5yr,0.072214
Dividend Growth 5yr,-0.0048079
Short Int Current Month,19525702.0
Short Int Prev Month,21015100.0
Short Int Pct of Float,0.0160897
Days to Cover,3.18416
Float,1213.959
Shares Outstanding,1218.0
Institutions Holding Shares,1439.0
% Held by Institutions,0.834779
FCF Growth 5yr,0.23071594388069763
