,APH
% Below High,0.0917
% Held by Institutions,0.9483
52-Wk Range,['61.67 - 88.45']
Annual Dividend $,0.84
Annual Dividend %,0.0105
Ask,88.34
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,45.0
Bid Size,100.0
Closing Price,80.34
Day Change $,0.27
Day Change %,0.0034000000000000002
Day High,80.68
Day Low,79.73
Dividend Pay Date,2023-01-11 00:00:00
"EPS (TTM, GAAP)",2.97
Ex-dividend,2022-12-19 00:00:00
Ex-dividend Date,12/19/22
Historical Volatility,0.292
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,47.8B
"P/E Ratio (TTM, GAAP)",27.07
Prev Close,80.07
Short Interest,0.0095
Today's Open,80.0
Volume,793690.0
Volume 10-day Avg,2099770.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.22083333333333344
Growth 1yr High Est,0.2195121951219512
Growth 1yr Consensus Est,0.22017276422764231
Growth 2yr Low Est,0.08140642775881685
Growth 2yr High Est,0.14642276422764233
Growth 2yr Consensus Est,0.11391459599322959
Growth 5yr Low Est,-0.040765306676446234
Growth 5yr High Est,-0.010121951219512176
Growth 5yr Consensus Est,-0.025443628947979205
Growth 5yr Actual/Est,0.13767997016336675
Growth 3yr Historic,0.08155080213903743
Price/Earnings (TTM),27.07466
Price/Sales (TTM),3.85231
Price/Book (MRQ),7.29319
Price/Cash Flow (TTM),21.06905
5yr Low,31.53
5yr High,88.45
5yr Avg Return,0.1165
EPS Growth 5yr,0.13960699999999998
Revenue Growth 5yr,0.1158757
Dividend Growth 5yr,0.16970179999999999
Short Int Current Month,5620250.0
Short Int Prev Month,5140354.0
Short Int Pct of Float,0.009500399999999999
Days to Cover,2.19205
Float,591.6324
Shares Outstanding,595.0945
Institutions Holding Shares,1267.0
FCF Growth 5yr,0.5039412076306916
"Price/Earnings (TTM, GAAP)",27.07
"PEG Ratio (TTM, GAAP)",2.51
Gross Profit Margin (TTM),0.3168
Operating Profit Margin (TTM),0.2025
Net Profit Margin (TTM),0.1502
Annual Dividend Yield,0.0105
Dividend Change %,0.2212
"Dividend Growth Rate, 3 Years",0.1301
EPS Growth (MRQ),0.0517
EPS Growth (TTM),0.25780000000000003
Revenue Growth (MRQ),0.050499999999999996
Revenue Growth (TTM),0.2078
Return On Equity (TTM),0.2954
Return On Assets (TTM),0.1241
Return On Investment (TTM),0.1531
Revenue Per Employee (TTM),137897.0
Total Debt/Total Capital (MRQ),0.4169
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.6
Interest Coverage (MRQ),21.13
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-07-05 00:00:00
cfra since,2017-11-06 00:00:00
ford since,2022-06-03 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2020-06-08 00:00:00
marketEdge opinion since,
