,APH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.07,21.62,Valuation,1.252081406105458
Price/Sales (TTM),3.85,5.43,Valuation,0.70902394106814
Price/Book (MRQ),7.29,5.49,Valuation,1.3278688524590163
"PEG Ratio (TTM, GAAP)",2.51,14.73,Valuation,0.17040054310930072
Gross Profit Margin (TTM),0.3168,0.33659999999999995,Profitability,0.9411764705882355
Operating Profit Margin (TTM),0.2025,-0.0824,Profitability,-2.4575242718446604
Net Profit Margin (TTM),0.1502,-0.1173,Profitability,-1.2804774083546462
Annual Dividend Yield,0.0105,0.0088,Dividend,1.1931818181818181
Dividend Change %,0.2212,0.0488,Dividend,4.532786885245901
"Dividend Growth Rate, 3 Years",0.1301,0.046,Dividend,2.8282608695652174
EPS Growth (MRQ),0.0517,0.1058,Gowth rates,0.4886578449905482
EPS Growth (TTM),0.25780000000000003,-0.0147,Gowth rates,-17.537414965986397
Revenue Growth (MRQ),0.050499999999999996,0.1655,Gowth rates,0.3051359516616314
Revenue Growth (TTM),0.2078,0.1855,Gowth rates,1.1202156334231808
Return On Equity (TTM),0.2954,0.23850000000000002,Effectiveness,1.2385744234800837
Return On Assets (TTM),0.1241,0.0752,Effectiveness,1.6502659574468084
Return On Investment (TTM),0.1531,0.1041,Effectiveness,1.4707012487992317
Revenue Per Employee (TTM),137897.0,449465.0,Effectiveness,0.3068025318990355
Total Debt/Total Capital (MRQ),0.4169,0.3575,Financial strength,1.166153846153846
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0362,Financial strength,-0.027624309392265192
Quick Ratio (MRQ),1.6,1.53,Financial strength,1.0457516339869282
Interest Coverage (MRQ),21.13,15.46,Financial strength,1.3667529107373866
