,REI
% Above Low,0.354
% Held by Institutions,0.5677
52-Wk Range,['2.02 - 5.09']
Annual Dividend $,
Annual Dividend %,
Ask,2.74
Ask Size,4500.0
B/A Ratio,2.577777777777778
B/A Size,11600x4500
Beta,2.0
Bid,2.73
Bid Size,11600.0
Day Change $,-0.065
Day Change %,-0.0232
Day High,2.76
Day Low,2.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.0
Ex-dividend Date,No dividend
Historical Volatility,0.7040000000000001
Last (size),420.0
Last (time),12:31p ET 11/28/22
Market Cap,477.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",2.79
Prev Close,2.8
Price,2.74
Short Interest,0.1905
Today's Open,2.72
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.5818181818181818
Growth 1yr High Est,0.4307692307692308
Growth 1yr Consensus Est,0.5062937062937063
Growth 2yr Low Est,0.38286311389759664
Growth 2yr High Est,0.306782464846981
Growth 2yr Consensus Est,0.34482278937228883
Growth 5yr Low Est,0.19143155694879832
Growth 5yr High Est,0.1533912324234905
Growth 5yr Consensus Est,0.17241139468614441
Growth 5yr Actual/Est,1.5945803979730564
Growth 3yr Historic,1.0715517241379309
Price/Earnings (TTM),2.79377
Price/Sales (TTM),1.58959
Price/Book (MRQ),0.7279
Price/Cash Flow (TTM),2.52269
5yr Low,0.4301
5yr High,17.35
5yr Avg Return,0.13966666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.447888
Dividend Growth 5yr,
Short Int Current Month,16857215.0
Short Int Prev Month,16814566.0
Short Int Pct of Float,0.1905223
Days to Cover,4.95554
Float,147.7961
Shares Outstanding,174.4113
Institutions Holding Shares,142.0
FCF Growth 5yr,0.748445308022971
"Price/Earnings (TTM, GAAP)",2.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9307
Operating Profit Margin (TTM),0.5787
Net Profit Margin (TTM),0.4826
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5406000000000001
EPS Growth (TTM),1.4854
Revenue Growth (MRQ),0.1112
Revenue Growth (TTM),0.8288
Return On Equity (TTM),0.3793
Return On Assets (TTM),0.1536
Return On Investment (TTM),0.17260000000000003
Revenue Per Employee (TTM),5796586.0
Total Debt/Total Capital (MRQ),0.4042
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
researchTeam since,
newConstructs since,
