,SXC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.86,8.1,Valuation,0.8469135802469137
Price/Sales (TTM),0.38,26.88,Valuation,0.014136904761904762
Price/Book (MRQ),1.2,2.96,Valuation,0.4054054054054054
"PEG Ratio (TTM, GAAP)",,0.16,Valuation,
Gross Profit Margin (TTM),0.20379999999999998,0.37450000000000006,Profitability,0.5441922563417889
Operating Profit Margin (TTM),0.087,0.1534,Profitability,0.5671447196870925
Net Profit Margin (TTM),0.0582,-0.0742,Profitability,-0.784366576819407
Annual Dividend Yield,0.0388,0.0221,Dividend,1.755656108597285
Dividend Change %,0.3333,1.2752,Dividend,0.26137076537013804
"Dividend Growth Rate, 3 Years",,0.166,Dividend,
EPS Growth (MRQ),1.2972,2.9881,Gowth rates,0.4341220173354305
EPS Growth (TTM),2.9371,0.4999,Gowth rates,5.875375075015003
Revenue Growth (MRQ),0.029700000000000004,-0.0394,Gowth rates,-0.753807106598985
Revenue Growth (TTM),0.302,0.1966,Gowth rates,1.536113936927772
Return On Equity (TTM),0.1911,0.284,Effectiveness,0.672887323943662
Return On Assets (TTM),0.06480000000000001,0.0867,Effectiveness,0.7474048442906576
Return On Investment (TTM),0.0758,0.171,Effectiveness,0.4432748538011696
Revenue Per Employee (TTM),6536918.0,1551415.0,Effectiveness,4.21351991568987
Total Debt/Total Capital (MRQ),0.48,0.30510000000000004,Financial strength,1.5732546705998032
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.0381,Financial strength,-0.028871391076115485
Quick Ratio (MRQ),0.84,2.21,Financial strength,0.38009049773755654
Interest Coverage (MRQ),5.95,28.93,Financial strength,0.20566885585896993
