,SXC
% Below High,0.16399999999999998
% Held by Institutions,0.8482
52-Wk Range,['5.72 - 9.82']
Annual Dividend $,0.32
Annual Dividend %,0.0388
Ask,8.21
Ask Size,1100.0
B/A Ratio,3.727272727272727
B/A Size,4100x1100
Beta,1.2
Bid,8.2
Bid Size,4100.0
Day Change $,-0.04
Day Change %,-0.0048
Day High,8.27
Day Low,8.0
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.2
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.429
Last (size),100.0
Last (time),3:49p ET 11/28/22
Market Cap,684.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.86
Prev Close,8.25
Price,8.21
Short Interest,0.0139
Today's Open,8.08
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-29.000000000000004
Growth 1yr High Est,-32.5
Growth 1yr Consensus Est,-30.75
Growth 2yr Low Est,-14.687500000000002
Growth 2yr High Est,-16.46031746031746
Growth 2yr Consensus Est,-15.573908730158731
Growth 5yr Low Est,-9.791666666666668
Growth 5yr High Est,-10.973544973544973
Growth 5yr Consensus Est,-10.38260582010582
Growth 5yr Actual/Est,inf
Growth 3yr Historic,inf
Price/Earnings (TTM),6.85729
Price/Sales (TTM),0.37727
Price/Book (MRQ),1.1956
Price/Cash Flow (TTM),2.77783
5yr Low,2.33
5yr High,14.32
5yr Avg Return,-0.01111666666666667
EPS Growth 5yr,0.18320160000000002
Revenue Growth 5yr,0.035441799999999996
Dividend Growth 5yr,
Short Int Current Month,1144628.0
Short Int Prev Month,1501446.0
Short Int Pct of Float,0.0138558
Days to Cover,1.29862
Float,82.63653
Shares Outstanding,83.40231
Institutions Holding Shares,250.0
FCF Growth 5yr,0.7913682298521477
"Price/Earnings (TTM, GAAP)",6.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.20379999999999998
Operating Profit Margin (TTM),0.087
Net Profit Margin (TTM),0.0582
Annual Dividend Yield,0.0388
Dividend Change %,0.3333
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2972
EPS Growth (TTM),2.9371
Revenue Growth (MRQ),0.029700000000000004
Revenue Growth (TTM),0.302
Return On Equity (TTM),0.1911
Return On Assets (TTM),0.06480000000000001
Return On Investment (TTM),0.0758
Revenue Per Employee (TTM),6536918.0
Total Debt/Total Capital (MRQ),0.48
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),0.84
Interest Coverage (MRQ),5.95
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-11-01 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
