,SHC
% Above Low,0.41090000000000004
% Held by Institutions,0.8725
52-Wk Range,['5.78 - 24.90']
Annual Dividend $,
Annual Dividend %,
Ask,8.16
Ask Size,1500.0
B/A Ratio,0.5333333333333333
B/A Size,800x1500
Beta,
Bid,8.15
Bid Size,800.0
Day Change $,0.005
Day Change %,0.0006
Day High,8.25
Day Low,8.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.43
Ex-dividend Date,No dividend
Historical Volatility,0.7320000000000001
Last (size),100.0
Last (time),2:11p ET 11/28/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",18.89
Prev Close,8.15
Price,8.16
Short Interest,0.07980000000000001
Today's Open,8.1
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.08139534883720945
Growth 1yr High Est,0.0674157303370786
Growth 1yr Consensus Est,0.07440553958714402
Growth 2yr Low Est,0.062203050762690726
Growth 2yr High Est,0.10212891780011835
Growth 2yr Consensus Est,0.08216598428140454
Growth 5yr Low Est,0.062203050762690726
Growth 5yr High Est,0.10212891780011835
Growth 5yr Consensus Est,0.08216598428140454
Growth 5yr Actual/Est,0.41972153142365914
Growth 3yr Historic,0.3650793650793651
Price/Earnings (TTM),18.88541
Price/Sales (TTM),2.31463
Price/Book (MRQ),3.78954
Price/Cash Flow (TTM),8.44118
5yr Low,5.78
5yr High,30.38
5yr Avg Return,-0.2608333333333333
Short Int Current Month,7818980.0
Short Int Prev Month,5792943.0
Short Int Pct of Float,0.0798088
Days to Cover,4.51299
Float,273.6358
Shares Outstanding,282.1135
Institutions Holding Shares,250.0
FCF Growth 5yr,0.46844644080094505
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",18.89
"PEG Ratio (TTM, GAAP)",1.05
Gross Profit Margin (TTM),0.5529000000000001
Operating Profit Margin (TTM),0.2466
Net Profit Margin (TTM),0.12300000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.17370000000000002
EPS Growth (TTM),1.9656
Revenue Growth (MRQ),-0.06730000000000001
Revenue Growth (TTM),0.0951
Return On Equity (TTM),0.2134
Return On Assets (TTM),0.044000000000000004
Return On Investment (TTM),0.0463
Revenue Per Employee (TTM),331115.0
Total Debt/Total Capital (MRQ),0.7482
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),2.74
Interest Coverage (MRQ),3.57
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-20 00:00:00
theStreet since,2022-09-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
