,SHC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.89,83.95,Valuation,0.2250148898153663
Price/Sales (TTM),2.31,6.06,Valuation,0.38118811881188125
Price/Book (MRQ),3.79,6.22,Valuation,0.6093247588424437
"PEG Ratio (TTM, GAAP)",1.05,3.53,Valuation,0.2974504249291785
Gross Profit Margin (TTM),0.5529000000000001,0.5095000000000001,Profitability,1.0851815505397449
Operating Profit Margin (TTM),0.2466,0.0332,Profitability,7.427710843373494
Net Profit Margin (TTM),0.12300000000000001,-0.0454,Profitability,-2.709251101321586
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.17370000000000002,-0.5094,Gowth rates,0.3409893992932863
EPS Growth (TTM),1.9656,-0.2377,Gowth rates,-8.269246949936896
Revenue Growth (MRQ),-0.06730000000000001,0.1691,Gowth rates,-0.3979893554109995
Revenue Growth (TTM),0.0951,0.1222,Gowth rates,0.7782324058919804
Return On Equity (TTM),0.2134,1.1042,Effectiveness,0.19326209020105053
Return On Assets (TTM),0.044000000000000004,0.0644,Effectiveness,0.6832298136645963
Return On Investment (TTM),0.0463,0.0802,Effectiveness,0.5773067331670824
Revenue Per Employee (TTM),331115.0,335561.0,Effectiveness,0.9867505461004109
Total Debt/Total Capital (MRQ),0.7482,0.3893,Financial strength,1.9219111225276138
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0252,Financial strength,-0.003968253968253968
Quick Ratio (MRQ),2.74,1.51,Financial strength,1.8145695364238412
Interest Coverage (MRQ),3.57,33.07,Financial strength,0.10795282733595403
