,TLS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),1.1,9.39,Valuation,0.11714589989350373
Price/Book (MRQ),1.46,12.63,Valuation,0.11559778305621535
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.36729999999999996,0.7206,Profitability,0.5097141271162919
Operating Profit Margin (TTM),-0.16579999999999998,0.2172,Profitability,-0.7633517495395947
Net Profit Margin (TTM),-0.1663,0.1553,Profitability,-1.0708306503541534
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.3993,-0.0752,Gowth rates,-5.309840425531915
EPS Growth (TTM),-0.12029999999999999,-0.2824,Gowth rates,0.4259915014164306
Revenue Growth (MRQ),0.1398,0.15560000000000002,Gowth rates,0.8984575835475578
Revenue Growth (TTM),0.046200000000000005,0.1906,Gowth rates,0.24239244491080802
Return On Equity (TTM),-0.223,0.2189,Effectiveness,-1.018730013704888
Return On Assets (TTM),-0.1586,0.10740000000000001,Effectiveness,-1.476722532588454
Return On Investment (TTM),-0.2054,0.1387,Effectiveness,-1.4808940158615718
Revenue Per Employee (TTM),275140.0,667721.0,Effectiveness,0.41205832975149803
Total Debt/Total Capital (MRQ),0.0695,0.39659999999999995,Financial strength,0.17523953605648013
Change in Debt/Total Capital Quarter over Quarter,-0.0011,0.0004,Financial strength,-2.75
Quick Ratio (MRQ),3.19,1.0,Financial strength,3.19
Interest Coverage (MRQ),-42.37,0.28,Financial strength,-151.32142857142856
