,TLS
% Above Low,0.13
% Held by Institutions,0.6163000000000001
52-Wk Range,['3.35 - 17.28']
Annual Dividend $,
Annual Dividend %,
Ask,3.77
Ask Size,100.0
Ask close,4.65
B/A Ratio,25.0
B/A Size,2500x100
Beta,
Bid,3.76
Bid Size,2500.0
Bid close,2.9
Change Since Close,-0.07| |(-1.85%)
Closing Price,3.78
Day Change $,-0.06
Day Change %,-0.015600000000000001
Day High,3.99
Day Low,3.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.57
Ex-dividend Date,No dividend
Historical Volatility,1.37
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,3.71
Market Cap,254.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.84
Short Interest,0.047599999999999996
Today's Open,3.87
Volume,812264.0
Volume 10-day Avg,2069926.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.7999999999999998
Growth 2yr High Est,-0.6875
Growth 2yr Consensus Est,-1.24375
Growth 5yr Low Est,-1.7999999999999998
Growth 5yr High Est,-0.6875
Growth 5yr Consensus Est,-1.24375
Growth 5yr Actual/Est,-0.37962962962962954
Growth 3yr Historic,0.16666666666666674
Price/Earnings (TTM),
Price/Sales (TTM),1.10486
Price/Book (MRQ),1.4598
Price/Cash Flow (TTM),
5yr Low,3.35
5yr High,41.84
5yr Avg Return,-0.26203333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.1244407
Dividend Growth 5yr,
Short Int Current Month,1977349.0
Short Int Prev Month,1423643.0
Short Int Pct of Float,0.0476175
Days to Cover,0.71877
Float,41.8507
Shares Outstanding,67.21062
Institutions Holding Shares,173.0
FCF Growth 5yr,0.4368614053401448
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.36729999999999996
Operating Profit Margin (TTM),-0.16579999999999998
Net Profit Margin (TTM),-0.1663
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3993
EPS Growth (TTM),-0.12029999999999999
Revenue Growth (MRQ),0.1398
Revenue Growth (TTM),0.046200000000000005
Return On Equity (TTM),-0.223
Return On Assets (TTM),-0.1586
Return On Investment (TTM),-0.2054
Revenue Per Employee (TTM),275140.0
Total Debt/Total Capital (MRQ),0.0695
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),3.19
Interest Coverage (MRQ),-42.37
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-12-21 00:00:00
theStreet since,2021-12-21 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
