,ICPT
% Above Low,0.3663
% Held by Institutions,0.7582
52-Wk Range,['10.81 - 21.25']
Annual Dividend $,
Annual Dividend %,
Ask,16.0
Ask Size,400.0
B/A Ratio,3.75
B/A Size,1500x400
Beta,1.1
Bid,14.56
Bid Size,1500.0
Closing Price,14.77
Day Change $,-0.04
Day Change %,-0.0027
Day High,14.99
Day Low,14.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.07
Ex-dividend Date,No dividend
Historical Volatility,0.7809999999999999
Last (size),64.0
Last (time),1:00p ET 11/25/22
Market Cap,611.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,14.81
Short Interest,0.09939999999999999
Today's Open,14.65
Volume,164371.0
Volume 10-day Avg,506926.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.6931155192532089
Growth 1yr High Est,-1.9283887468030692
Growth 1yr Consensus Est,-1.310752133028139
Growth 2yr Low Est,0.18956391337719786
Growth 2yr High Est,-1.4524863844208182
Growth 2yr Consensus Est,-0.6314612355218102
Growth 5yr Low Est,0.0376262411170418
Growth 5yr High Est,-0.7486529710229819
Growth 5yr Consensus Est,-0.35551336495297003
Growth 5yr Actual/Est,-1.3106218762494186
Growth 3yr Historic,-0.22250876984362922
Price/Earnings (TTM),
Price/Sales (TTM),2.03304
Price/Book (MRQ),5.68122
Price/Cash Flow (TTM),
5yr Low,10.81
5yr High,133.74
5yr Avg Return,-0.04393333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.7087386999999999
Dividend Growth 5yr,
Short Int Current Month,3984633.0
Short Int Prev Month,4170792.0
Short Int Pct of Float,0.0993954
Days to Cover,4.55507
Float,40.09038
Shares Outstanding,41.41713
Institutions Holding Shares,221.0
FCF Growth 5yr,0.5442396828994335
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9934999999999999
Operating Profit Margin (TTM),-0.5412
Net Profit Margin (TTM),-0.6452
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.4431000000000003
EPS Growth (TTM),-0.3891
Revenue Growth (MRQ),0.08130000000000001
Revenue Growth (TTM),0.0926
Return On Equity (TTM),
Return On Assets (TTM),-0.35869999999999996
Return On Investment (TTM),-0.5415
Revenue Per Employee (TTM),688547.0
Total Debt/Total Capital (MRQ),0.7553000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0040999999999999995
Quick Ratio (MRQ),
Interest Coverage (MRQ),-1.94
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2014-10-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2014-11-11 00:00:00
