,ICPT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),2.03,45.03,Valuation,0.0450810570730624
Price/Book (MRQ),5.68,12.61,Valuation,0.45043616177636797
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9934999999999999,0.5874,Profitability,1.6913517194416068
Operating Profit Margin (TTM),-0.5412,-4.7459,Profitability,0.11403527255104406
Net Profit Margin (TTM),-0.6452,-4.5467,Profitability,0.1419051179976686
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-3.4431000000000003,-0.0014000000000000002,Gowth rates,2459.3571428571427
EPS Growth (TTM),-0.3891,0.027200000000000002,Gowth rates,-14.305147058823529
Revenue Growth (MRQ),0.08130000000000001,1.3963999999999999,Gowth rates,0.05822114007447724
Revenue Growth (TTM),0.0926,0.9747,Gowth rates,0.0950035908484662
Return On Equity (TTM),,0.1967,Effectiveness,
Return On Assets (TTM),-0.35869999999999996,0.0016,Effectiveness,-224.18749999999997
Return On Investment (TTM),-0.5415,0.0219,Effectiveness,-24.726027397260275
Revenue Per Employee (TTM),688547.0,1476201.0,Effectiveness,0.46643173930921333
Total Debt/Total Capital (MRQ),0.7553000000000001,0.4675,Financial strength,1.6156149732620322
Change in Debt/Total Capital Quarter over Quarter,-0.0040999999999999995,0.0036,Financial strength,-1.1388888888888888
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-1.94,2.69,Financial strength,-0.7211895910780669
