,APPN
% Above Low,0.13720000000000002
% Held by Institutions,0.7797
52-Wk Range,['33.02 - 77.77']
Annual Dividend $,
Annual Dividend %,
Ask,37.91
Ask Size,600.0
B/A Ratio,0.6666666666666666
B/A Size,400x600
Beta,1.6
Bid,37.26
Bid Size,400.0
Closing Price,37.55
Day Change $,-0.02
Day Change %,-0.0005
Day High,37.85
Day Low,37.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.97
Ex-dividend Date,No dividend
Historical Volatility,0.855
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,37.57
Short Interest,0.10859999999999999
Today's Open,37.34
Volume,85323.0
Volume 10-day Avg,531925.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,1.6181818181818177
Growth 1yr High Est,1.4814814814814814
Growth 1yr Consensus Est,1.5498316498316496
Growth 2yr Low Est,0.8820075757575755
Growth 2yr High Est,0.6325317855168602
Growth 2yr Consensus Est,0.7572696806372179
Growth 5yr Low Est,0.44100378787878775
Growth 5yr High Est,0.3162658927584301
Growth 5yr Consensus Est,0.3786348403186089
Growth 5yr Actual/Est,0.5086255656108597
Growth 3yr Historic,0.27884615384615385
Price/Earnings (TTM),
Price/Sales (TTM),6.09169
Price/Book (MRQ),15.75043
Price/Cash Flow (TTM),
5yr Low,19.62
5yr High,260.0
5yr Avg Return,0.4864333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.2267221
Dividend Growth 5yr,
Short Int Current Month,4332207.0
Short Int Prev Month,5086489.0
Short Int Pct of Float,0.1086202
Days to Cover,5.42399
Float,39.90844
Shares Outstanding,72.5476
Institutions Holding Shares,294.0
FCF Growth 5yr,0.5022412470549816
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7178
Operating Profit Margin (TTM),-0.2914
Net Profit Margin (TTM),-0.31829999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1099
EPS Growth (TTM),-1.021
Revenue Growth (MRQ),0.071
Revenue Growth (TTM),0.2928
Return On Equity (TTM),-0.663
Return On Assets (TTM),-0.3
Return On Investment (TTM),-0.5213
Revenue Per Employee (TTM),248717.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-424.45
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2018-08-03 00:00:00
cfra since,2020-12-14 00:00:00
ford since,2022-03-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2018-08-03 00:00:00
