,APPN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),6.09,9.39,Valuation,0.6485623003194888
Price/Book (MRQ),15.75,12.63,Valuation,1.2470308788598574
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7178,0.7206,Profitability,0.9961143491534832
Operating Profit Margin (TTM),-0.2914,0.2172,Profitability,-1.3416206261510129
Net Profit Margin (TTM),-0.31829999999999997,0.1553,Profitability,-2.0495814552479072
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.1099,-0.0752,Gowth rates,-1.4614361702127658
EPS Growth (TTM),-1.021,-0.2824,Gowth rates,3.615439093484419
Revenue Growth (MRQ),0.071,0.15560000000000002,Gowth rates,0.4562982005141387
Revenue Growth (TTM),0.2928,0.1906,Gowth rates,1.5362014690451207
Return On Equity (TTM),-0.663,0.2189,Effectiveness,-3.0287802649611697
Return On Assets (TTM),-0.3,0.10740000000000001,Effectiveness,-2.7932960893854744
Return On Investment (TTM),-0.5213,0.1387,Effectiveness,-3.758471521268926
Revenue Per Employee (TTM),248717.0,667721.0,Effectiveness,0.37248641273825445
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-424.45,0.28,Financial strength,-1515.8928571428569
