,OLN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.22,20.13,Valuation,0.30899155489319424
Price/Sales (TTM),0.81,3.27,Valuation,0.24770642201834864
Price/Book (MRQ),3.11,5.58,Valuation,0.557347670250896
"PEG Ratio (TTM, GAAP)",3.9,0.12,Valuation,32.5
Gross Profit Margin (TTM),0.249,0.3453,Profitability,0.7211120764552563
Operating Profit Margin (TTM),0.2066,0.0535,Profitability,3.8616822429906543
Net Profit Margin (TTM),0.1462,0.0204,Profitability,7.166666666666666
Annual Dividend Yield,0.0138,0.0188,Dividend,0.7340425531914894
Dividend Change %,0.0,0.102,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.06910000000000001,Dividend,0.0
EPS Growth (MRQ),-0.2093,-0.6111,Gowth rates,0.34249713631156936
EPS Growth (TTM),0.5874,1.725,Gowth rates,0.34052173913043476
Revenue Growth (MRQ),-0.1125,0.212,Gowth rates,-0.5306603773584906
Revenue Growth (TTM),0.2084,0.23420000000000002,Gowth rates,0.8898377455166524
Return On Equity (TTM),0.5820000000000001,0.2206,Effectiveness,2.638259292837716
Return On Assets (TTM),0.1703,0.06420000000000001,Effectiveness,2.6526479750778815
Return On Investment (TTM),0.21030000000000001,0.08410000000000001,Effectiveness,2.500594530321046
Revenue Per Employee (TTM),1268336.0,817013.0,Effectiveness,1.5524061428643119
Total Debt/Total Capital (MRQ),0.5031,0.4105,Financial strength,1.2255785627283802
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.001,Financial strength,-1.0
Quick Ratio (MRQ),0.83,1.18,Financial strength,0.7033898305084746
Interest Coverage (MRQ),11.51,26.2,Financial strength,0.43931297709923667
