,OLN
% Below High,0.1392
% Held by Institutions,0.8608
52-Wk Range,['41.33 - 67.25']
Annual Dividend $,0.8
Annual Dividend %,0.0138
Ask,58.2
Ask Size,1200.0
B/A Ratio,0.6666666666666666
B/A Size,800x1200
Beta,1.4
Bid,56.2
Bid Size,800.0
Change Since Close,-1.43| |(-2.47%)
Closing Price,57.89
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",9.31
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.454
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,56.46
Market Cap,7.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.22
Prev Close,57.89
Short Interest,0.0265
Today's Open,
Volume,18.0
Volume 10-day Avg,1781510.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4460093896713615
Growth 2yr High Est,-0.056353591160221206
Growth 2yr Consensus Est,-0.25118149041579135
Growth 5yr Low Est,-0.4460093896713615
Growth 5yr High Est,-0.056353591160221206
Growth 5yr Consensus Est,-0.25118149041579135
Growth 5yr Actual/Est,-2.7278493617476665
Growth 3yr Historic,-2.680093555093555
Price/Earnings (TTM),6.22093
Price/Sales (TTM),0.80684
Price/Book (MRQ),3.11053
Price/Cash Flow (TTM),3.89286
5yr Low,8.76
5yr High,67.25
5yr Avg Return,0.19404999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.0992929
Dividend Growth 5yr,0.0
Short Int Current Month,3612301.0
Short Int Prev Month,3270401.0
Short Int Pct of Float,0.0264993
Days to Cover,1.90756
Float,136.2817
Shares Outstanding,137.0
Institutions Holding Shares,568.0
FCF Growth 5yr,0.5179858597568181
"Price/Earnings (TTM, GAAP)",6.22
"PEG Ratio (TTM, GAAP)",3.9
Gross Profit Margin (TTM),0.249
Operating Profit Margin (TTM),0.2066
Net Profit Margin (TTM),0.1462
Annual Dividend Yield,0.0138
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.2093
EPS Growth (TTM),0.5874
Revenue Growth (MRQ),-0.1125
Revenue Growth (TTM),0.2084
Return On Equity (TTM),0.5820000000000001
Return On Assets (TTM),0.1703
Return On Investment (TTM),0.21030000000000001
Revenue Per Employee (TTM),1268336.0
Total Debt/Total Capital (MRQ),0.5031
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),0.83
Interest Coverage (MRQ),11.51
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-08-03 00:00:00
cfra since,2022-07-21 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
