,OLN
Price/Earnings (TTM),6.22093
Price/Sales (TTM),0.80684
Price/Book (MRQ),3.11053
Price/Cash Flow (TTM),3.89286
5yr Low,8.76
5yr High,67.25
5yr Avg Return,0.19404999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.0992929
Dividend Growth 5yr,0.0
Short Int Current Month,3612301.0
Short Int Prev Month,3270401.0
Short Int Pct of Float,0.0264993
Days to Cover,1.90756
Float,136.2817
Shares Outstanding,137.0
Institutions Holding Shares,568.0
% Held by Institutions,0.860826
FCF Growth 5yr,0.5179858597568181
