,ZUMZ
% Above Low,0.1557
% Held by Institutions,0.8994
52-Wk Range,['20.29 - 49.98']
Annual Dividend $,
Annual Dividend %,
Ask,23.5
Ask Size,1700.0
B/A Ratio,0.29411764705882354
B/A Size,500x1700
Beta,1.5
Bid,23.45
Bid Size,500.0
Closing Price,23.45
Day Change $,-0.64
Day Change %,-0.026600000000000002
Day High,24.37
Day Low,23.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.09
Ex-dividend Date,No dividend
Historical Volatility,0.529
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,456.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.79
Prev Close,24.09
Short Interest,0.1422
Today's Open,23.79
Volume,530879.0
Volume 10-day Avg,265104.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.7291242362525459
Growth 1yr High Est,-0.7111553784860558
Growth 1yr Consensus Est,-0.7201398073693008
Growth 2yr Low Est,-0.2780959527127391
Growth 2yr High Est,-0.08661217200164861
Growth 2yr Consensus Est,-0.18235406235719387
Growth 5yr Low Est,0.07866527712991023
Growth 5yr High Est,0.1699181182845928
Growth 5yr Consensus Est,0.12429169770725151
Growth 5yr Actual/Est,0.08223401424786486
Growth 3yr Historic,0.19042620865139942
Price/Earnings (TTM),7.79296
Price/Sales (TTM),0.43558
Price/Book (MRQ),1.24011
Price/Cash Flow (TTM),5.01836
5yr Low,13.13
5yr High,55.1
5yr Avg Return,0.08696666666666665
EPS Growth 5yr,0.3606675
Revenue Growth 5yr,0.0719919
Dividend Growth 5yr,
Short Int Current Month,2225611.0
Short Int Prev Month,2208120.0
Short Int Pct of Float,0.14217739999999998
Days to Cover,9.7218
Float,15.65376
Shares Outstanding,19.47037
Institutions Holding Shares,227.0
FCF Growth 5yr,-0.03989701404664917
"Price/Earnings (TTM, GAAP)",7.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3678
Operating Profit Margin (TTM),0.0901
Net Profit Margin (TTM),0.0665
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),8.8361
EPS Growth (TTM),-0.3531
Revenue Growth (MRQ),-0.0031
Revenue Growth (TTM),-0.0638
Return On Equity (TTM),0.1472
Return On Assets (TTM),0.0799
Return On Investment (TTM),0.10189999999999999
Revenue Per Employee (TTM),430724.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.13
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-06-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-01-14 00:00:00
cfra since,
marketEdge opinion since,
