,ZUMZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.59,19.03,Valuation,0.3988439306358381
Price/Sales (TTM),0.42,1.93,Valuation,0.21761658031088082
Price/Book (MRQ),1.21,92.12,Valuation,0.013135041250542769
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.3678,0.34390000000000004,Profitability,1.0694969467868565
Operating Profit Margin (TTM),0.0901,0.11789999999999999,Profitability,0.7642069550466497
Net Profit Margin (TTM),0.0665,0.0818,Profitability,0.8129584352078241
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),8.8361,-0.10800000000000001,Gowth rates,-81.81574074074074
EPS Growth (TTM),-0.3531,0.0262,Gowth rates,-13.477099236641221
Revenue Growth (MRQ),-0.0031,0.0478,Gowth rates,-0.06485355648535564
Revenue Growth (TTM),-0.0638,0.0874,Gowth rates,-0.7299771167048054
Return On Equity (TTM),0.1472,5.2054,Effectiveness,0.028278326353402234
Return On Assets (TTM),0.0799,0.1562,Effectiveness,0.5115236875800255
Return On Investment (TTM),0.10189999999999999,0.26,Effectiveness,0.3919230769230769
Revenue Per Employee (TTM),430724.0,410011.0,Effectiveness,1.0505181568299387
Total Debt/Total Capital (MRQ),0.0,0.8926999999999999,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),1.13,0.39,Financial strength,2.897435897435897
Interest Coverage (MRQ),,13.36,Financial strength,
