,SAIA
% Above Low,0.37020000000000003
% Held by Institutions,1.1233
52-Wk Range,['168.03 - 344.45']
Annual Dividend $,
Annual Dividend %,
Ask,230.43
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,229.87
Bid Size,200.0
Day Change $,-6.54
Day Change %,-0.0276
Day High,237.73
Day Low,230.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",13.5
Ex-dividend Date,No dividend
Historical Volatility,0.564
Last (size),100.0
Last (time),1:34p ET 11/28/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.53
Prev Close,236.77
Price,230.24
Short Interest,0.10220000000000001
Today's Open,233.3
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.4955849889624724
Growth 1yr High Est,0.49892473118279557
Growth 1yr Consensus Est,0.497254860072634
Growth 2yr Low Est,0.1666116826731181
Growth 2yr High Est,0.24444084478795453
Growth 2yr Consensus Est,0.2055262637305363
Growth 5yr Low Est,0.33360311511846164
Growth 5yr High Est,0.3705193737900103
Growth 5yr Consensus Est,0.352061244454236
Growth 5yr Actual/Est,0.35451050707451326
Growth 3yr Historic,0.25809481216457963
Price/Earnings (TTM),17.53335
Price/Sales (TTM),2.27555
Price/Book (MRQ),4.15904
Price/Cash Flow (TTM),12.19385
5yr Low,52.04
5yr High,365.5
5yr Avg Return,0.3412833333333334
EPS Growth 5yr,0.38358939999999997
Revenue Growth 5yr,0.12851869999999999
Dividend Growth 5yr,
Short Int Current Month,2687892.0
Short Int Prev Month,2521103.0
Short Int Pct of Float,0.10218540000000001
Days to Cover,5.08169
Float,26.30212
Shares Outstanding,26.46246
Institutions Holding Shares,415.0
FCF Growth 5yr,-0.06279590956989749
"Price/Earnings (TTM, GAAP)",17.53
"PEG Ratio (TTM, GAAP)",1.03
Gross Profit Margin (TTM),0.6925
Operating Profit Margin (TTM),0.17260000000000003
Net Profit Margin (TTM),0.1309
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1043
EPS Growth (TTM),0.6406999999999999
Revenue Growth (MRQ),-0.0215
Revenue Growth (TTM),0.2818
Return On Equity (TTM),0.2718
Return On Assets (TTM),0.1834
Return On Investment (TTM),0.22160000000000002
Revenue Per Employee (TTM),237363.0
Total Debt/Total Capital (MRQ),0.0226
Change in Debt/Total Capital Quarter over Quarter,-0.0047
Quick Ratio (MRQ),
Interest Coverage (MRQ),221.12
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2016-08-29 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
